HEZJ,CNN,or
0.00747,-0.014237959,-0.01373
-0.00071,-0.014455592,-0.02039
-0.00404,-0.017031377,-0.02354
-0.00235,-0.019069612,-0.02261
0.00947,-0.018959017,-0.01262
-0.00113,-0.016000398,-0.0209
0.00217,-0.016183771,-0.01918
0.00464,-0.017429348,-0.0226
0.00095,-0.01764992,-0.01964
0.00053,-0.016950127,-0.02169
-0.00237,-0.01802524,-0.02119
0.00653,-0.018480826,-0.01221
0.0032,-0.01699766,-0.01625
0.00001,-0.015830545,-0.02128
0.00089,-0.018025415,-0.02096
-0.00104,-0.01883734,-0.02067
-0.00379,-0.018471394,-0.02154
-0.00267,-0.01896626,-0.02324
0.00118,-0.019548068,-0.02163
0.00247,-0.018868895,-0.0165
-0.00675,-0.017265216,-0.02458
-0.00311,-0.019571206,-0.02204
-0.00386,-0.020303795,-0.02458
-0.00537,-0.020080714,-0.02664
-0.0054,-0.021061372,-0.02521
-0.00572,-0.021501776,-0.02678
-0.00267,-0.021878961,-0.02335
-0.00525,-0.021095907,-0.02535
-0.00116,-0.020494554,-0.02054
0.00094,-0.020092083,-0.01775
0.00073,-0.018605495,-0.01815
0.00482,-0.018398026,-0.01461
0.00289,-0.017944127,-0.0175
0.0045,-0.017346516,-0.01572
-0.00014,-0.016916048,-0.01967
0.00465,-0.018112756,-0.0145
0.00579,-0.017013667,-0.01514
-0.00037,-0.015822558,-0.01746
0.00065,-0.016083946,-0.01827
0.00179,-0.017026816,-0.01783
0.00109,-0.01717952,-0.02036
-0.00176,-0.017827697,-0.02107
0.00547,-0.018267617,-0.01527
0.00479,-0.01766989,-0.01321
0.01277,-0.015360247,-0.00444
0.00093,-0.013634661,-0.01723
0.00131,-0.015941052,-0.0182
0.00227,-0.017323945,-0.01783
0.00207,-0.016611889,-0.01887
0.00231,-0.015532255,-0.01487
0.00936,-0.014574399,-0.0105
0.00595,-0.014238711,-0.01184
0.00884,-0.014225634,-0.00949
0.0075,-0.014241522,-0.01116
0.00808,-0.014242018,-0.00822
0.00814,-0.013630612,-0.00932
0.00412,-0.013001386,-0.01564
-0.00248,-0.01408302,-0.02092
0.00304,-0.015974209,-0.01914
0.00432,-0.015483243,-0.01629
0.00504,-0.013799429,-0.01134
0.003,-0.013168523,-0.01709
0.01196,-0.014892822,-0.00539
0.00769,-0.013288792,-0.01127
0.00702,-0.01281607,-0.01253
0.00339,-0.014293324,-0.0156
0.00843,-0.015026592,-0.0097
0.00699,-0.013950259,-0.01414
0.00427,-0.013927495,-0.01578
-0.00176,-0.014455622,-0.01816
-0.00264,-0.01568449,-0.01849
-0.00142,-0.016525596,-0.02011
-0.00296,-0.016601693,-0.02035
-0.00403,-0.01659622,-0.01846
0.00337,-0.016714055,-0.01529
0.00224,-0.015701009,-0.01372
-0.00056,-0.014864726,-0.02021
0.00452,-0.016544404,-0.0181
0.00692,-0.016970837,-0.01662
0.00535,-0.01629126,-0.01609
0.00515,-0.015920246,-0.00849
0.00572,-0.015981507,-0.01266
0.00985,-0.015831612,-0.00746
0.00523,-0.013966896,-0.01997
0.00217,-0.015249617,-0.01672
0.00234,-0.01542848,-0.01846
0.00621,-0.01512292,-0.01686
0.00777,-0.014419792,-0.01198
0.00469,-0.013768185,-0.01227
0.01442,-0.014347356,-0.00894
-0.00351,-0.013579318,-0.01976
0.0008,-0.015899314,-0.01641
0.01454,-0.016502375,-0.0065
0.0196,-0.013182759,-0.00544
0.01894,-0.011057042,2.00E-05
0.01495,-0.011628585,-0.00177
0.01838,-0.01135385,-0.00843
0.01143,-0.011558896,-0.00748
0.01191,-0.012375359,-0.01058
0.00858,-0.012889179,-0.01127
0.00869,-0.012356805,-0.01467
