TRUE,fit,prediction
-0.00602,-0.006325585,
-0.01652,-0.013995931,
-0.00888,-0.007102924,
-0.00642,-0.005822878,
-0.00565,-0.004248735,
-0.00926,-0.006621879,
-0.00447,-0.000365029,
-0.00852,-0.004327116,
-0.00347,-0.003760343,
0.00154,0.001253621,
-0.00426,-0.001701477,
-0.00277,-0.003519941,
-0.00148,-0.003891648,
-0.0038,-0.004843109,
-0.00381,-0.001876823,
-0.00468,-0.005198922,
-0.00704,-0.007241078,
-0.01069,-0.009331419,
-0.01222,-0.012049183,
-0.01494,-0.01117844,
-0.00155,-0.003985011,
-0.00616,-0.003949414,
-0.00217,-0.000598151,
-0.0077,-0.008187826,
-0.00746,-0.007238723,
-0.00083,-0.001244329,
-0.00453,-0.004998328,
-0.00711,-0.005201067,
-0.0116,-0.012450433,
-0.00971,-0.007583687,
-0.01049,-0.010367886,
-0.0078,-0.006147644,
-0.00762,-0.007722487,
-0.00436,-0.008317712,
-0.0073,-0.008229113,
-0.0112,-0.011358623,
-0.00633,-0.002062709,
-0.01886,-0.016070336,
-0.00567,-0.007800414,
-0.0092,-0.007321482,
-0.01019,-0.009304697,
-0.00546,-0.004458327,
-0.00343,-0.006593566,
-0.0071,-0.006407912,
-0.00532,-0.008661143,
-0.00332,-0.006888641,
0.00658,0.004592109,
-0.0093,-0.009439112,
-0.00537,-0.005555249,
-0.00516,-0.000665546,
-0.00901,-0.00361411,
-0.00523,-0.002871596,
-0.01321,-0.011777957,
-0.00827,-0.007187143,
-0.00519,-0.00551052,
-0.00683,-0.003793232,
-0.00458,-0.004514161,
0.00133,6.20E-06,
-0.00582,-0.002379828,
-0.01108,-0.003370939,
-0.00855,-0.005216304,
0.00068,-0.008274672,
-0.00343,-0.004983283,
-0.00308,-0.001753829,
-0.0016,-0.000174095,
0.00222,-0.001392323,
0.0021,0.002961125,
0.0022,0.005666565,
-0.00802,-0.006508498,
-0.00169,-0.00084715,
-0.0054,-0.007836375,
-0.00309,-0.000823564,
-0.00271,-0.003229187,
-0.00656,-0.008977188,
-0.00193,-0.001318951,
0.00324,0.000745308,
0.00559,0.003307197,
0.00086,-0.000490687,
0.00491,0.001417743,
0.00469,0.002430459,
0.00126,0.002925001,
0.00013,-1.71E-05,
-0.0031,-0.001343472,
-0.00031,-0.000192608,
-0.00488,-0.000665546,
0.0022,0.006491128,
-0.00508,-0.00083653,
-0.00123,-0.00352168,
-0.00247,0.000844424,
-0.00256,-0.006995254,
-0.00453,-0.004045458,
0.00023,0.001608621,
-0.00384,-0.00127757,
-0.00113,3.37E-05,
-0.00702,-0.007559503,
0.00148,0.001221335,
-0.01128,-0.007786077,
-0.01231,-0.01180341,
-0.00239,-0.001719269,
-0.00125,0.000350649,
0.00031,-0.001909555,
0.00086,0.00170199,
-0.00153,-0.002385003,
0.00268,0.008213514,
0.00528,0.002431471,
0.00727,-0.001835696,
0.00149,0.001653177,
-0.00787,-0.007716565,
-0.00722,-0.007434661,
-0.0026,-0.001002685,
-0.00147,-0.001288607,
0.00274,0.002378373,
-0.01088,-0.008478167,
0.00079,-7.47E-05,
-0.00004,-0.001664075,
0.00036,0.000933604,
-0.00022,-0.000238699,
-0.01075,-0.010719926,
-0.00813,-0.009134113,
-0.0054,-0.006805282,
-0.00196,-0.000416809,
-0.00297,-0.008337174,
-0.00459,-0.003611128,
-0.00842,-0.006285015,
-0.00566,-0.002818716,
-0.00887,-0.006165624,
0.00117,-0.000889211,
0.00161,0.001439817,
0.00626,0.0094284,
-0.00038,0.002537203,
0.00692,0.007378888,
-0.00258,-0.002960214,
0.00082,0.001186603,
-0.00986,-0.014110295,
-0.00467,-0.005052757,
-0.00564,-0.002970899,
-0.00139,0.001481133,
-0.00081,0.000423621,
-0.00245,0.001172854,
0.00217,0.00439441,
0.00483,0.001961438,
-0.00042,0.000549978,
0.0101,0.019517092,
-0.01065,-0.010023353,
-0.01241,-0.004610702,
0.00502,0.001439817,
-0.00459,-0.002963481,
0.00745,0.000898044,
-0.01074,-0.007703685,
-0.00748,-0.00663742,
-0.00634,-0.002507634,
-0.00241,-0.003215274,
-0.00507,-0.00494406,
-0.00095,-0.002554664,
0.00682,-0.001325708,
0.01192,0.001281866,
0.01183,0.009328281,
-0.00353,-0.000955973,
0.00253,0.006905621,
0.00233,0.003840097,
0.01091,0.007285087,
-0.00887,-0.004503286,
0.00063,0.002013351,
-0.00462,-0.005633857,
-0.00198,-0.000942647,
0.00218,0.008108635,
-0.00289,-0.005572168,
0.01361,0.008157826,
0.00659,0.008666984,
-0.00167,5.74E-05,
0.00602,0.005757201,
0.00056,0.000800544,
0.00388,0.004342644,
-0.00652,-0.001257792,
-0.01402,-0.005519817,
-0.00244,-9.79E-05,
0.00747,0.007476489,
0.00498,-0.004419595,
-0.00204,0.003288854,
-0.00209,-0.002445583,
-0.0011,0.003599256,
0.00573,0.000381867,
-0.00536,0.000367473,
0.0011,0.001049409,
0.01769,0.011905272,
0.0015,-0.000905948,
0.00104,-0.001068746,
0.01154,0.00858147,
0.01032,0.013645899,
-0.00046,0.004219525,
-0.00498,-0.005729421,
-0.00913,-0.01201386,
-0.01391,-0.012573887,
0.01754,-0.013275002,
-0.01193,-0.01075706,
0.0002,-0.006685977,
0.00149,-0.00059478,
-0.00178,0.001843268,
-0.02054,-0.013699441,
0.0122,0.005814361,
-0.00643,0.002321769,
0.00889,0.00888252,
0.00288,0.002264874,
0.00694,0.009094219,
0.0085,0.008430431,
0.00582,0.003323253,
0.00565,0.002176117,
-0.00188,0.003679094,
0.0111,0.002791388,
0.00269,0.004453987,
0.01206,0.008098212,
0.00316,0.010488597,
0.00574,6.48E-05,
0.00509,-8.76E-05,
0.0118,0.011317695,
0.00302,0.005600377,
0.00045,-0.005568084,
-0.00665,-0.003871966,
-0.00851,-0.003872752,
0.00344,-0.000888504,
-0.0018,-0.006377059,
-0.0029,-0.00346159,
-0.01157,0.003713473,
0.00797,0.007658744,
0.00498,0.002840936,
0.00426,0.003528217,
0.0039,0.00429611,
0.0119,0.003799128,
0.00217,0.002460352,
-0.00395,0.003443974,
0.00412,0.004249388,
-0.00074,-0.002620012,
0.00085,0.000833521,
-0.00611,0.00583441,
0.00036,0.001433146,
0.00141,0.00236167,
0.00494,0.006565671,
0.00684,0.00422476,
0.0097,0.006034143,
0.00097,0.001663657,
0.00609,0.002887804,
-0.00797,-0.006282102,
-0.00353,-0.005737196,
-0.00404,-0.005098203,
-0.00036,-0.004039642,
-0.00175,0.001259363,
-0.00378,0.000343728,
-0.00124,-0.002502855,
-0.0016,-0.003501796,
0.00171,-0.000264322,
-0.00097,-0.003215348,
0.0033,-0.004346307,
