,XGB1,HEZJ
0,0.008927537,0.01015
1,0.008807988,0.00853
2,0.014547058,0.01433
3,0.009760629,0.01048
4,0.011283085,0.00988
5,0.005639364,0.00699
6,0.009239858,0.00904
7,-0.003084121,0.00253
8,0.004400662,0.00674
9,0.005555871,0.00851
10,0.004400662,0.00747
11,-0.001260615,-0.00071
12,-0.006936214,-0.00404
13,-0.005096778,-0.00235
14,0.004127968,0.00947
15,0.003550479,-0.00113
16,0.002659769,0.00217
17,-0.001098432,0.00464
18,-0.001019165,0.00095
19,-0.001006428,0.00053
20,-0.002809401,-0.00237
21,0.004297186,0.00653
22,0.002994162,0.0032
23,9.74E-05,0.00001
24,-0.002237123,0.00089
25,-0.001260615,-0.00104
26,-0.003139284,-0.00379
27,-0.005978418,-0.00267
28,-0.000851778,0.00118
29,0.002659769,0.00247
30,-0.005462877,-0.00675
31,-0.005096778,-0.00311
32,-0.004142928,-0.00386
33,-0.006538383,-0.00537
34,-0.004387432,-0.0054
35,-0.006285794,-0.00572
36,-0.003837532,-0.00267
37,-0.006072046,-0.00525
38,-0.003084121,-0.00116
39,0.002337796,0.00094
40,0.000541255,0.00073
41,0.002994162,0.00482
42,0.002994162,0.00289
43,0.003035011,0.0045
44,0.000430436,-0.00014
45,0.003035011,0.00465
46,0.002994162,0.00579
47,0.001049971,-0.00037
48,0.002659769,0.00065
49,0.000925708,0.00179
50,0.000718433,0.00109
51,-0.002542121,-0.00176
52,0.003893089,0.00547
53,0.003683142,0.00479
54,0.01709351,0.01277
55,0.000541255,0.00093
56,0.002659769,0.00131
57,0.000674729,0.00227
58,8.42E-05,0.00207
59,0.002994162,0.00231
60,0.00691081,0.00936
61,0.003166414,0.00595
62,0.010364294,0.00884
63,0.00831731,0.0075
64,0.009953726,0.00808
65,0.007904056,0.00814
66,0.001698103,0.00412
67,-0.001260615,-0.00248
68,0.003683142,0.00304
69,0.003683142,0.00432
70,0.00762833,0.00504
71,0.003683142,0.003
72,0.011505799,0.01196
73,0.009748247,0.00769
74,0.004517146,0.00702
75,0.003683142,0.00339
76,0.010342992,0.00843
77,0.006244852,0.00699
78,0.003683142,0.00427
79,0.002744529,-0.00176
80,0.000738583,-0.00264
81,-0.000930732,-0.00142
82,-0.000930732,-0.00296
83,0.000246154,-0.00403
84,0.003683142,0.00337
85,0.003301938,0.00224
86,0.000470447,-0.00056
87,0.002619757,0.00452
88,0.005007449,0.00692
89,0.004765458,0.00535
90,0.007669178,0.00515
91,0.003559241,0.00572
92,0.006347133,0.00985
93,0.004816948,0.00523
94,0.002526296,0.00217
95,0.002156218,0.00234
96,0.004956169,0.00621
97,0.006783322,0.00777
98,0.00354967,0.00469
99,0.011298703,0.01442
100,0.000994677,-0.00351
101,0.001049971,0.0008
102,0.011505799,0.01454
103,0.020686066,0.0196
104,0.016448675,0.01894
105,0.014273741,0.01495
106,0.020720128,0.01838
107,0.010365335,0.01143
108,0.013398556,0.01191
109,0.003600001,0.00858
110,0.003683142,0.00869
111,0.015132415,0.01333
112,0.009126256,0.01155
113,0.011109391,0.01061
114,0.014547058,0.0145
115,0.013392837,0.01635
116,0.011497978,0.01613
117,0.013271963,0.01406
118,0.016420271,0.01299
119,0.014142276,0.00849
120,0.008941841,0.00502
121,0.006727498,0.00238
122,0.008468202,0.00797
123,0.01098958,0.01072
124,0.006649269,0.01203
125,-0.000739533,0.00212
126,0.003972451,0.01072
127,0.002820732,0.00699
128,0.006854019,0.0121
129,0.01476425,-0.00118
130,0.014008111,0.01207
131,0.0117925,0.01254
132,0.008884261,0.01007
133,0.009776695,0.00748
134,0.006711898,0.00697
135,0.011505799,0.01349
136,0.011286433,0.01144
137,0.010795225,0.01046
138,0.004942277,0.00242
139,0.009404433,-0.00193
140,0.01404059,0.01124
141,0.016692381,0.01045
142,0.014022672,0.01076
143,0.013723617,0.01414
144,0.019741463,0.01851
145,0.016327111,0.01829
146,0.018127592,0.01473
147,0.019840151,0.02467
148,0.011213727,0.01045
149,0.019850519,0.01898
150,0.015269863,0.0159
151,0.011235029,0.01008
152,0.02014259,0.01365
153,0.02014259,0.01392
154,0.019850519,0.01718
155,0.012895443,0.00917
156,0.013316648,0.01246
157,0.003903847,-0.0015
158,0.008599521,0.0077
159,0.005947721,0.00343
160,0.008374411,0.01264
161,0.011356349,0.00933
162,0.010190151,0.01135
163,0.004017395,0.00154
164,0.003400595,0.00169
165,0.004465523,0.0032
166,0.008348835,-0.00124
167,0.001654221,0.00047
168,0.008912523,0.0083
169,0.004797899,0.00042
170,0.010559641,0.01298
171,0.007006845,0.00583
172,0.003486568,0.00334
173,0.010349044,0.00655
174,0.010452778,0.00792
175,0.012535904,0.01039
176,0.00691081,0.01369
177,0.019885411,0.01454
178,0.00511408,0.00387
179,0.009886491,0.00858
180,0.010270442,0.01434
181,0.019850519,0.02046
182,0.010642707,0.00799
183,0.016801437,0.01367
184,0.014291827,0.0132
185,0.012169532,0.01026
186,0.014153752,0.01426
187,0.004598322,0.00124
188,0.009216359,0.0032
189,0.001742034,0.0031
190,-0.009088852,-0.01708
191,0.004171253,0.00619
192,0.001626284,-0.00208
193,-0.010369089,-0.00771
194,-0.005969587,-0.01071
195,0.006571503,0.0067
196,0.009027432,0.00935
197,0.006859489,-0.00193
198,0.006354837,0.01072
199,0.007377544,0.00403
200,0.003257722,-0.00297
201,0.006455897,0.00512
202,-5.16E-05,0.00868
203,0.009594252,0.00364
204,0.01047635,0.00107
205,-0.00199,-0.0017
206,0.006585408,0.00183
207,-0.000164229,-0.00264
208,0.00102947,-0.00381
209,-0.002241183,-0.00678
210,-0.012862679,-0.01582
211,-0.008711834,-0.00787
212,0.002212139,-0.00092
213,-0.013979344,-0.01184
214,-0.001496919,-0.01234
215,0.00113527,-0.00562
216,0.00318633,-0.00278
217,0.000442689,-0.00418
218,-0.006590093,-0.00158
219,-0.008476074,-0.01136
220,-0.009600606,-0.0119
221,0.002108743,-0.00769
222,-0.009168689,-0.01852
223,-0.005316324,-0.00504
224,0.009926789,-0.0005
225,-0.006572827,-0.00984
226,-0.01302916,-0.01584
227,-0.001187585,-0.01384
228,0.004234583,0.00566
229,-0.00618003,-0.01058
230,-0.002258793,-0.00322
231,0.004397016,-0.00136
232,0.008135261,0.00243
233,-0.003480978,-0.00946
234,-0.008102451,-0.00778
235,0.003094221,0.00184
236,0.003887631,0.00389
237,-0.015885372,-0.01692
238,-0.011787117,-0.01901
239,0.004739219,0.00603
240,-0.002242604,-0.00889
241,-0.011820684,-0.01516
242,0.00863753,0.00729
243,-0.013680628,-0.01449
244,0.000100833,-0.0064
245,-0.00114152,-0.00762
246,0.001153157,0.00449
247,0.002591156,0.006
248,-0.003064539,-0.01153
249,-0.000489272,-0.00353
250,-0.000187024,-0.00055
251,-0.010899666,-0.01465
252,-0.010976464,-0.012
253,-0.014669202,-0.01531
254,-0.003968888,-0.00475
255,0.002182802,-0.00123
256,0.001232848,0.00086
257,-0.000239635,0.00044
258,-0.004038538,-0.0037
259,-0.007932793,-0.00978
260,-0.008743355,-0.00915
261,0.000339551,-0.0029
262,3.21E-05,0.00179
263,0.004321318,0.00297
264,0.004986262,0.00195
265,-0.012569232,-0.02065
266,0.003848935,-0.00259
267,0.000968203,0.00058
268,0.005440863,0.00492
269,-0.000570641,-0.00243
270,0.000267386,-0.00146
271,-0.001493506,0.00021
272,-0.000334858,0.00156
273,0.003160612,0.00447
274,-0.005463635,-0.00679
275,0.003499607,-0.00087
276,0.002316834,-0.0015
277,-0.003240775,-0.00591
278,0.00149736,0.00089
279,0.011566999,0.00576
280,-0.001111926,-0.0012
281,-0.001646766,-0.00235
282,-0.00019272,-0.00251
283,-0.001111926,-0.00331
284,0.000278263,0.00148
285,0.000213037,-0.00504
286,0.003431072,0.00046
287,0.005695254,0.00151
288,0.004288754,0.00564
289,0.006553333,0.00676
290,0.001690231,-0.00236
291,0.011877627,0.0094
292,0.005695254,0.00429
293,0.003231421,0.00214
294,0.001151075,-0.00174
295,0.000451612,-0.0038
296,0.000319603,-0.00199
297,0.000249667,-0.00405
298,0.011246768,0.00795
299,0.011361856,0.0078
300,0.004540733,-0.00122
301,-0.002519966,-0.00046
302,0.003305193,-0.00141
303,0.001690231,-0.00205
304,-0.000738364,-0.00029
305,0.003785203,0.00136
306,0.003509475,0.00565
307,0.000334093,0.00039
308,-0.003770716,-0.00643
309,-0.006743062,-0.00551
310,-0.003348275,-0.00029
311,-0.00325856,-0.00564
312,0.003160612,-0.00045
313,-0.002286355,0.00046
314,-0.004985156,-0.00053
315,-0.004603953,-0.00465
316,0.002861344,0.00174
317,0.0034824,-0.00165
318,-0.00048927,-0.00156
319,-0.00382586,-0.00267
320,0.003615873,-0.00053
321,0.008741507,0.00556
322,-0.004865726,-0.00592
323,-0.004413493,-0.00478
324,-0.008207919,-0.00414
325,-0.008832475,-0.0106
326,-0.009521242,-0.00975
327,-0.007116543,-0.00859
328,-0.002801927,-0.00639
329,0.004950565,0.00207
330,-0.004464907,-0.00153
331,-0.004856956,-0.00279
332,-0.00320574,-0.00098
333,-0.001536331,-0.00017
334,-0.00403593,-0.00218
335,-0.003033777,-0.00161
336,0.002909731,0.00232
337,0.00539067,0.00357
338,-0.004226194,-0.00229
339,-0.005571599,-0.00272
340,-0.004330972,-0.00245
341,-0.004226194,-0.00432
342,-0.00490648,-0.00655
343,-0.004330972,-0.00542
344,-0.00490862,-0.00243
345,-0.004098409,-0.00393
346,0.000456619,0.00216
347,-0.004611022,-0.00264
348,-0.000727832,-0.00157
349,-0.004226194,-0.00496
350,-0.004781187,-0.00072
351,-0.007294915,-0.00809
352,0.00424128,0.00543
353,-0.003565072,-0.00446
354,-0.003287201,-0.00169
355,-0.004781187,-0.00326
356,-0.00054736,-0.00011
357,0.000859125,-0.00068
358,0.006002162,0.00239
359,-0.004077933,-0.00443
360,-0.000743008,-0.00006
361,0.001092334,0.00064
362,0.000849755,0.0012
363,-0.002639069,-0.00295
364,-0.004263077,-0.00218
