TRUE,fit,prediction
-0.00602,-0.00786974,
-0.01652,-0.015765697,
-0.00888,-0.0068639,
-0.00642,-0.005306467,
-0.00565,-0.004828026,
-0.00926,-0.005975167,
-0.00447,0.000343896,
-0.00852,-0.004439218,
-0.00347,-0.004350939,
0.00154,0.004534534,
-0.00426,-0.001430285,
-0.00277,-0.003886063,
-0.00148,-0.002537403,
-0.0038,-0.004405187,
-0.00381,-0.001469191,
-0.00468,-0.004625692,
-0.00704,-0.007370459,
-0.01069,-0.010089996,
-0.01222,-0.011178569,
-0.01494,-0.010296883,
-0.00155,-0.003968416,
-0.00616,-0.003682895,
-0.00217,0.00042229,
-0.0077,-0.007463681,
-0.00746,-0.007963345,
-0.00083,-0.001348962,
-0.00453,-0.003463714,
-0.00711,-0.004471045,
-0.0116,-0.01181433,
-0.00971,-0.008589319,
-0.01049,-0.011132161,
-0.0078,-0.004340204,
-0.00762,-0.006795099,
-0.00436,-0.007066828,
-0.0073,-0.008060773,
-0.0112,-0.009869121,
-0.00633,-0.000569735,
-0.01886,-0.0123569,
-0.00567,-0.007794461,
-0.0092,-0.008097791,
-0.01019,-0.009984811,
-0.00546,-0.00514813,
-0.00343,-0.007400402,
-0.0071,-0.006943283,
-0.00532,-0.008589164,
-0.00332,-0.006673349,
0.00658,0.004785343,
-0.0093,-0.009830073,
-0.00537,-0.005935799,
-0.00516,-0.001298147,
-0.00901,-0.003140196,
-0.00523,-0.003183147,
-0.01321,-0.012717758,
-0.00827,-0.007562554,
-0.00519,-0.005135124,
-0.00683,-0.004810899,
-0.00458,-0.004850351,
0.00133,-8.46E-05,
-0.00582,-0.005077717,
-0.01108,-0.005421593,
-0.00855,-0.006420548,
0.00068,-0.007987156,
-0.00343,-0.003770377,
-0.00308,-0.002197646,
-0.0016,-0.001429358,
0.00222,-0.002119769,
0.0021,0.002379489,
0.0022,0.005641626,
-0.00802,-0.007940274,
-0.00169,-0.001734329,
-0.0054,-0.008258275,
-0.00309,-0.001875105,
-0.00271,-0.003382645,
-0.00656,-0.0082691,
-0.00193,-0.002090366,
0.00324,0.000707402,
0.00559,0.005410276,
0.00086,-0.001372803,
0.00491,0.003529451,
0.00469,0.005837418,
0.00126,0.001134856,
0.00013,-0.000649003,
-0.0031,-0.001576967,
-0.00031,0.00065462,
-0.00488,-0.001055698,
0.0022,0.005300942,
-0.00508,-0.001538628,
-0.00123,-0.002810689,
-0.00247,-0.000289186,
-0.00256,-0.00649321,
