,XGB1,HEZJ
0,0.009497891,0.01015
1,0.009959662,0.00853
2,0.014223285,0.01433
3,0.00959147,0.01048
4,0.009959662,0.00988
5,0.006359167,0.00699
6,0.009959662,0.00904
7,-0.003457078,0.00253
8,0.004505578,0.00674
9,0.005660787,0.00851
10,0.004505578,0.00747
11,-0.000738047,-0.00071
12,-0.006378396,-0.00404
13,-0.005226559,-0.00235
14,0.005062869,0.00947
15,0.003282704,-0.00113
16,0.002090341,0.00217
17,-0.001255341,0.00464
18,-0.000833433,0.00095
19,-0.000847016,0.00053
20,-0.003624389,-0.00237
21,0.005650382,0.00653
22,0.003099077,0.0032
23,-0.000140585,0.00001
24,-0.002730398,0.00089
25,-0.001349833,-0.00104
26,-0.002549098,-0.00379
27,-0.005568203,-0.00267
28,-0.001349833,0.00118
29,0.002098212,0.00247
30,-0.004686781,-0.00675
31,-0.004941082,-0.00311
32,-0.005206903,-0.00386
33,-0.006455757,-0.00537
34,-0.005116142,-0.0054
35,-0.006864394,-0.00572
36,-0.005026223,-0.00267
37,-0.005261849,-0.00525
38,-0.002742372,-0.00116
39,0.002202802,0.00094
40,-3.53E-05,0.00073
41,0.003099077,0.00482
42,0.003099077,0.00289
43,0.003190353,0.0045
44,0.000487948,-0.00014
45,0.003190353,0.00465
46,0.003099077,0.00579
47,0.001242693,-0.00037
48,0.001937499,0.00065
49,-0.000198604,0.00179
50,0.00012276,0.00109
51,-0.001436281,-0.00176
52,0.004048432,0.00547
53,0.003714034,0.00479
54,0.016983708,0.01277
55,0.000637518,0.00093
56,0.00320738,0.00131
57,-0.000292973,0.00227
58,-0.000708227,0.00207
59,0.003099077,0.00231
60,0.007304125,0.00936
61,0.004520298,0.00595
62,0.011499791,0.00884
63,0.009253197,0.0075
64,0.010892284,0.00808
65,0.00884778,0.00814
66,0.001623513,0.00412
67,-0.000738047,-0.00248
68,0.003714034,0.00304
69,0.003382414,0.00432
70,0.008638239,0.00504
71,0.003714034,0.003
72,0.011395995,0.01196
73,0.01014225,0.00769
74,0.005544415,0.00702
75,0.003714034,0.00339
76,0.011434856,0.00843
77,0.006275745,0.00699
78,0.003714034,0.00427
79,-0.000446416,-0.00176
80,-0.000738047,-0.00264
81,-0.000738047,-0.00142
82,-0.000738047,-0.00296
83,-0.00079652,-0.00403
84,0.003714034,0.00337
85,0.002996045,0.00224
86,0.000308329,-0.00056
87,0.002349916,0.00452
88,0.005112364,0.00692
89,0.004171671,0.00535
90,0.008186944,0.00515
91,0.003051896,0.00572
92,0.007531251,0.00985
93,0.004848528,0.00523
94,0.003114964,0.00217
95,0.00233384,0.00234
96,0.005024541,0.00621
97,0.008689411,0.00777
98,0.003904768,0.00469
99,0.012318256,0.01442
100,2.29E-05,-0.00351
101,0.001242693,0.0008
102,0.011859868,0.01454
103,0.020561598,0.0196
104,0.017970905,0.01894
105,0.014973885,0.01495
106,0.020561598,0.01838
107,0.011988926,0.01143
108,0.014115746,0.01191
109,0.004227888,0.00858
110,0.004256607,0.00869
111,0.014973885,0.01333
112,0.009361895,0.01155
113,0.011764187,0.01061
114,0.014687159,0.0145
115,0.013555025,0.01635
116,0.011638076,0.01613
117,0.012610866,0.01406
118,0.015561702,0.01299
119,0.013734928,0.00849
120,0.009966448,0.00502
121,0.007580541,0.00238
122,0.008097081,0.00797
123,0.011342133,0.01072
124,0.007235074,0.01203
125,-0.000565169,0.00212
126,0.005172919,0.01072
127,0.004218746,0.00699
128,0.007507892,0.0121
129,0.012291316,-0.00118
130,0.014049369,0.01207
131,0.011904724,0.01254
132,0.008222857,0.01007
133,0.010883989,0.00748
134,0.006266754,0.00697
135,0.011395995,0.01349
136,0.012010952,0.01144
137,0.011507242,0.01046
138,0.004390516,0.00242
139,0.011046855,-0.00193
140,0.014908951,0.01124
141,0.018589688,0.01045
142,0.014822364,0.01076
143,0.015013475,0.01414
144,0.02163877,0.01851
145,0.017118251,0.01829
146,0.020167332,0.01473
147,0.020496663,0.02467
148,0.012010952,0.01045
149,0.020496663,0.01898
150,0.0152212,0.0159
151,0.011924802,0.01008
152,0.020496663,0.01365
153,0.020496663,0.01392
154,0.02003279,0.01718
155,0.013681158,0.00917
156,0.014445078,0.01246
157,0.00368271,-0.0015
158,0.009094545,0.0077
159,0.006996881,0.00343
160,0.010005309,0.01264
161,0.011036476,0.00933
162,0.011681621,0.01135
163,0.004062218,0.00154
164,0.002836938,0.00169
165,0.005401412,0.0032
166,0.009762494,-0.00124
167,-0.000262551,0.00047
168,0.009462738,0.0083
169,0.003962674,0.00042
170,0.011395995,0.01298
171,0.007351168,0.00583
172,0.005122799,0.00334
173,0.011468381,0.00655
174,0.011009513,0.00792
175,0.013943011,0.01039
176,0.007846697,0.01369
177,0.020647747,0.01454
178,0.005145659,0.00387
179,0.010652444,0.00858
180,0.011589228,0.01434
181,0.02003279,0.02046
182,0.012049814,0.00799
183,0.017447582,0.01367
184,0.015128187,0.0132
185,0.012732922,0.01026
186,0.015587185,0.01426
187,0.00522991,0.00124
188,0.009983841,0.0032
189,0.001273037,0.0031
190,-0.009182707,-0.01708
191,0.004550722,0.00619
192,0.001558179,-0.00208
193,-0.008843421,-0.00771
194,-0.00720351,-0.01071
195,0.00622655,0.0067
196,0.010186902,0.00935
197,0.006928331,-0.00193
198,0.0072748,0.01072
199,0.008155741,0.00403
200,0.004453479,-0.00297
201,0.008259681,0.00512
202,-0.001110853,0.00868
203,0.011259897,0.00364
204,0.01255584,0.00107
205,-0.004527258,-0.0017
206,0.007524402,0.00183
207,-0.002086813,-0.00264
208,0.000687353,-0.00381
209,-0.002025276,-0.00678
210,-0.01239714,-0.01582
211,-0.007185875,-0.00787
212,0.002201373,-0.00092
213,-0.013990336,-0.01184
214,-0.002008423,-0.01234
215,-0.000869693,-0.00562
216,0.001587546,-0.00278
217,0.000188517,-0.00418
218,-0.008276194,-0.00158
219,-0.011106334,-0.01136
220,-0.009433227,-0.0119
221,0.000675385,-0.00769
222,-0.008783805,-0.01852
223,-0.005164735,-0.00504
224,0.009928336,-0.0005
225,-0.006333094,-0.00984
226,-0.012233784,-0.01584
227,0.000384422,-0.01384
228,0.003555203,0.00566
229,-0.00750466,-0.01058
230,-0.004477903,-0.00322
231,0.004466389,-0.00136
232,0.007947891,0.00243
233,-0.004547847,-0.00946
234,-0.010036378,-0.00778
235,0.003517053,0.00184
236,0.004121194,0.00389
237,-0.015114969,-0.01692
238,-0.012033408,-0.01901
239,0.00388555,0.00603
240,-0.00321518,-0.00889
241,-0.008933012,-0.01516
242,0.010425407,0.00729
243,-0.012272028,-0.01449
244,-0.00169382,-0.0064
245,0.000454976,-0.00762
246,0.001177402,0.00449
247,0.002859073,0.006
248,-0.00301542,-0.01153
249,-0.000770881,-0.00353
250,0.000714778,-0.00055
251,-0.011263202,-0.01465
252,-0.011510016,-0.012
253,-0.012584127,-0.01531
254,-0.003694951,-0.00475
255,0.001256369,-0.00123
