,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,0.00014292875
11,-0.003811034
12,-0.004513633
13,-0.004129837
14,-0.0036729746
15,-0.004005572
16,-0.0037903707
17,-0.0043205647
18,-0.004490374
19,-0.008716
20,-0.008147674
21,-0.007565384
22,-0.0053870613
23,-0.005702373
24,-0.006605351
25,-0.008747723
26,-0.003064393
27,-0.0036358251
28,-0.005178653
29,-0.0066638244
30,-0.008242139
31,-0.0061419387
32,-0.008932211
33,-0.0067850854
34,-0.005432461
35,-0.006087992
36,-0.00908734
37,-0.0072442065
38,-0.010782544
39,-0.008263929
40,-0.0071751904
41,-0.0075031184
42,-0.008894109
43,-0.0063957577
44,-0.004544627
45,-0.009209952
46,-0.0012639237
47,-0.0036847075
48,-0.0038694637
49,-0.0036149079
50,-0.004743753
51,-0.0061701816
52,-0.006529782
53,-0.0072929882
54,-0.0055597783
55,-0.0046060346
56,-0.006955836
57,-0.006511488
58,-0.0035335522
59,-0.0031873733
60,-0.007327181
61,-0.008181691
62,-0.004482933
63,-0.004174076
64,-0.00426932
65,-0.0019325978
66,-0.0012382779
67,2.1417993e-05
68,0.00060526736
69,-0.0054176166
70,-0.0024279535
71,-0.003005544
72,-0.0035726791
73,-0.0033868551
74,-0.0026387929
75,-0.0020261419
76,-0.001482613
77,0.0029233932
78,-0.0019475223
79,0.0008604715
80,0.0007922919
81,-0.00093198626
82,-0.001097241
83,-0.0026427144
84,-0.0008629318
85,-0.0012411204
86,-0.0013811928
87,-0.0011829406
88,-0.0013262763
89,-0.0012999405
90,-0.0025452639
91,-0.0027627363
92,-0.0021409935
93,-0.0019534943
94,-0.0022034703
95,-0.003971494
96,-0.001848572
97,-0.0038289733
98,-0.0053421985
99,-0.0049221725
100,-0.0018876134
101,-0.004815393
102,-0.0034726511
103,-0.00085631956
104,-0.001992119
105,0.002476284
106,0.0015271172
107,-0.0014230243
108,-0.0051595066
109,-0.004136104
110,-0.0030352133
111,-0.0045971097
112,-0.0023722476
113,-0.0043933974
114,-0.0007371863
115,0.00078343326
116,-0.0016582015
117,-0.002566152
118,-0.0061020902
119,-0.0038802691
120,-0.0045477953
121,-0.0051003206
122,-0.0042999526
123,-0.003450666
124,-0.0048653297
125,-0.005934124
126,-0.0064227832
127,-0.004235043
128,-0.00031165787
129,0.0005558978
130,-0.0008387486
131,5.7801813e-06
132,-0.0010752006
133,-0.0012189711
134,-0.004729066
135,-0.00058029627
136,-0.0027503977
137,-0.00084081833
138,-0.0023802177
139,-0.0014830339
140,0.0007586871
141,-0.00022364844
142,-5.2623243e-05
143,0.00018002318
144,-0.00540871
145,-0.0027282028
146,-0.0027083454
147,-0.003375343
148,-0.0077472655
149,-0.006301874
150,-0.0058941552
151,0.004177937
152,-0.008106382
153,-0.006133567
154,-0.0006227569
155,0.0061019794
156,0.0015554787
