LSTM,BJGB,lstm,hezj
-0.00176,-0.00963,0.000142929,-0.00277
-0.00291,-0.01208,-0.003811034,-0.00148
-0.00791,-0.00896,-0.004513633,-0.0038
-0.00686,0.00161,-0.004129837,-0.00381
-0.00732,-0.00709,-0.003672975,-0.00468
-0.00914,-0.0041,-0.004005572,-0.00704
-0.00521,-0.00778,-0.003790371,-0.01069
-0.00474,-0.00816,-0.004320565,-0.01222
-0.00818,-0.00965,-0.004490374,-0.01494
-0.00655,-0.01074,-0.008716,-0.00155
-0.00904,-0.00124,-0.008147674,-0.00616
-0.00898,-0.00523,-0.007565384,-0.00217
-0.00767,-0.00866,-0.005387061,-0.0077
-0.00282,-0.01316,-0.005702373,-0.00746
-0.00618,-0.00884,-0.006605351,-0.00083
-0.01286,-0.00851,-0.008747723,-0.00453
-0.00903,-0.01195,-0.003064393,-0.00711
-0.00803,-0.01091,-0.003635825,-0.0116
-0.00936,-0.00442,-0.005178653,-0.00971
-0.00881,-0.01248,-0.006663824,-0.01049
-0.00497,-0.01029,-0.008242139,-0.0078
-0.0097,-0.01241,-0.006141939,-0.00762
-0.00994,-0.01459,-0.008932211,-0.00436
-0.01139,-0.0147,-0.006785085,-0.0073
-0.01121,-0.01289,-0.005432461,-0.0112
-0.01247,-0.00889,-0.006087992,-0.00633
-0.01107,-0.01504,-0.00908734,-0.01886
-0.00897,-0.00888,-0.007244207,-0.00567
-0.01167,-0.0056,-0.010782544,-0.0092
-0.00973,-0.00622,-0.008263929,-0.01019
-0.00708,-0.00292,-0.00717519,-0.00546
-0.00704,-0.00403,-0.007503118,-0.00343
-0.00685,-0.00237,-0.008894109,-0.0071
-0.00561,-0.00759,-0.006395758,-0.00532
-0.00563,-0.00366,-0.004544627,-0.00332
-0.00868,-0.00198,-0.009209952,0.00658
-0.00633,-0.00555,-0.001263924,-0.0093
-0.00482,-0.00571,-0.003684708,-0.00537
-0.00476,-0.00586,-0.003869464,-0.00516
-0.00534,-0.01176,-0.003614908,-0.00901
-0.00499,-0.01228,-0.004743753,-0.00523
-0.0079,-0.00203,-0.006170182,-0.01321
-0.00949,-0.0018,-0.006529782,-0.00827
-0.00807,0.00825,-0.007292988,-0.00519
-0.00287,-0.0049,-0.005559778,-0.00683
-0.00553,-0.00564,-0.004606035,-0.00458
-0.00437,-0.00567,-0.006955836,0.00133
-0.00536,-0.01337,-0.006511488,-0.00582
-0.01183,-0.00384,-0.003533552,-0.01108
-0.00488,-0.00319,-0.003187373,-0.00855
-0.01077,-0.00183,-0.007327181,0.00068
-0.00703,0.00165,-0.008181691,-0.00343
-0.00157,0.00089,-0.004482933,-0.00308
-0.00134,-0.0013,-0.004174076,-0.0016
-0.00032,-0.00213,-0.00426932,0.00222
-0.00205,-0.00566,-0.001932598,0.0021
-0.00563,-0.00839,-0.001238278,0.0022
-0.00416,-0.00152,2.14E-05,-0.00802
-0.00748,-0.00161,0.000605267,-0.00169
-0.00715,0.00169,-0.005417617,-0.0054
-0.00327,-0.0034,-0.002427954,-0.00309
-0.00223,0.00572,-0.003005544,-0.00271
-0.0027,-0.00089,-0.003572679,-0.00656
0.00049,-0.00179,-0.003386855,-0.00193
-0.00104,-0.0027,-0.002638793,0.00324
-0.00355,0.00335,-0.002026142,0.00559
-0.00374,-0.00017,-0.001482613,0.00086
-0.00648,-0.00375,0.002923393,0.00491
0.00032,-0.00738,-0.001947522,0.00469
-0.0042,-0.00746,0.000860472,0.00126
-0.00526,-0.00758,0.000792292,0.00013
-0.00486,-0.0082,-0.000931986,-0.0031
-0.00685,-0.0083,-0.001097241,-0.00031
-0.00754,-0.00181,-0.002642714,-0.00488
-0.00642,-0.00438,-0.000862932,0.0022
-0.00365,-0.0035,-0.00124112,-0.00508
-0.00368,-0.00736,-0.001381193,-0.00123
-0.00405,-0.00007,-0.001182941,-0.00247
-0.0073,-0.0024,-0.001326276,-0.00256
-0.00496,-0.00112,-0.001299941,-0.00453
-0.00292,-0.00513,-0.002545264,0.00023
-0.00498,0.00365,-0.002762736,-0.00384
-0.00406,-0.00156,-0.002140994,-0.00113
-0.00425,-0.00621,-0.001953494,-0.00702
-0.00058,-0.0044,-0.00220347,0.00148
-0.00524,-0.00193,-0.003971494,-0.01128
-0.00509,-0.00059,-0.001848572,-0.01231
-0.00383,-0.00323,-0.003828973,-0.00239
-0.00252,0.00699,-0.005342199,-0.00125
-0.00446,-0.0058,-0.004922173,0.00031
-0.00236,-0.00393,-0.001887613,0.00086
-0.00191,0.00529,-0.004815393,-0.00153
-0.00339,0.01392,-0.003472651,0.00268
-0.00311,0.00803,-0.00085632,0.00528
-0.01078,0.00758,-0.001992119,0.00727
0.00463,0.00935,0.002476284,0.00149
0.00055,0.00853,0.001527117,-0.00787
0.00579,0.0022,-0.001423024,-0.00722
0.00185,0.00325,-0.005159507,-0.0026
-0.00004,0.00068,-0.004136104,-0.00147
-0.00863,0.00944,-0.003035213,0.00274
-0.00015,0.00627,-0.00459711,-0.01088
-0.00483,0.00378,-0.002372248,0.00079
0.00085,0.00756,-0.004393397,-0.00004
0.00118,0.00865,-0.000737186,0.00036
0.00394,0.00635,0.000783433,-0.00022
0.00466,0.00748,-0.001658202,-0.01075
0.00319,0.00831,-0.002566152,-0.00813
-0.00138,0.00752,-0.00610209,-0.0054
0.00246,0.00399,-0.003880269,-0.00196
0.00378,-0.00353,-0.004547795,-0.00297
0.00068,0.001,-0.005100321,-0.00459
-0.00249,0.00408,-0.004299953,-0.00842
-0.00278,0.00608,-0.003450666,-0.00566
-0.00209,-0.00252,-0.00486533,-0.00887
-0.00373,0.0014,-0.005934124,0.00117
-0.00149,0.00094,-0.006422783,0.00161
0.00042,0.00064,-0.004235043,0.00626
0.00073,-0.00962,-0.000311658,-0.00038
-0.0016,-0.00864,0.000555898,0.00692
-0.00652,-0.00136,-0.000838749,-0.00258
-0.0069,0.00244,5.78E-06,0.00082
-0.00355,0.00074,-0.001075201,-0.00986
-0.00518,0.00124,-0.001218971,-0.00467
-0.00277,0.01056,-0.004729066,-0.00564
0.00042,0.00433,-0.000580296,-0.00139
0.00529,0.00047,-0.002750398,-0.00081
0.00225,-0.00733,-0.000840818,-0.00245
-0.00172,0.00473,-0.002380218,0.00217
-0.00753,0.00417,-0.001483034,0.00483
-0.01128,0.00576,0.000758687,-0.00042
-0.00058,0.00688,-0.000223648,0.0101
-0.00808,0.00846,-5.26E-05,-0.01065
0.0027,0.01002,0.000180023,-0.01241
0.00771,0.00815,-0.00540871,0.00502
0.00634,0.00361,-0.002728203,-0.00459
0.00109,0.00776,-0.002708345,0.00745
0.00042,0.00702,-0.003375343,-0.01074
-0.00292,0.00504,-0.007747266,-0.00748
0.0018,0.0089,-0.006301874,-0.00634
-0.00062,0.00605,-0.005894155,-0.00241
-0.00105,0.00772,0.004177937,-0.00507
0.00397,0.01371,-0.008106382,-0.00095
0.00357,0.01163,-0.006133567,0.00682
0.0015,0.00432,-0.000622757,0.01192
0.0056,0.00152,0.006101979,0.01183
0.00274,-0.00699,0.001555479,-0.00353
-0.00109,0.0001,0.007817605,0.00253
-0.00323,0.00222,-0.005331387,0.00233
-0.00728,0.00379,-0.003860055,0.01091
-0.00764,-0.00143,-0.000706134,-0.00887
-0.00702,0.00694,-0.000375205,0.00063
0.00008,-0.00534,-0.003396067,-0.00462
0.00252,-0.00356,0.002908292,-0.00198
-0.00574,0.00225,0.001415544,0.00218
-0.00391,0.00345,0.000772488,-0.00289
-0.00357,-0.0163,-0.002585296,0.01361
-0.00525,-0.00206,0.001065099,0.00659
-0.01006,-0.00408,0.00441649,-0.00167
-0.00589,0.00524,0.00394272,0.00602
-0.00112,-0.00934,-0.00075893,0.00056
-0.00977,-0.01056,-0.001606162,0.00388
-0.00988,-0.00121,-0.003319011,-0.00652
-0.00605,0.00321,-0.002501164,-0.01402
-0.00339,0.00363,-0.00206654,-0.00244
-0.00662,0.00277,-0.008606843,0.00747
-0.00288,0.00424,0.004507993,0.00498
-0.00213,-0.0001,-0.001115502,-0.00204
0.00512,0.00109,-0.001561099,-0.00209
-0.00275,0.00408,-0.003913663,-0.0011
-0.00275,0.00947,-0.003722442,0.00573
-0.00587,0.00165,-0.00134093,-0.00536
-0.00755,0.00959,0.000426102,0.0011
0.00207,0.00672,-0.001850079,0.01769
-0.00039,0.00187,-0.000720486,0.0015
0.00578,0.0067,0.007709091,0.00104
0.00139,-0.002,0.002981474,0.01154
-0.00164,-0.00208,-0.001238866,0.01032
-0.00083,-0.01061,0.002907448,-0.00046
-0.00255,-0.01579,0.001012091,-0.00498
-0.00671,-0.00828,0.000665107,-0.00913
-0.00694,-0.00865,-0.002950252,-0.01391
-0.00797,-0.01666,-0.008948155,0.01754
-0.00993,-0.01537,0.009523924,-0.01193
-0.00929,0.00471,-0.00860694,0.0002
-0.01058,-0.00119,-0.001123221,0.00149
-0.0098,0,0.002488021,-0.00178
-0.00065,-0.00246,-0.002323567,-0.02054
-0.01447,-0.00151,-0.008251826,0.0122
-0.00534,-0.01153,0.002541689,-0.00643
