TRUE,fit,prediction
-0.00602,-0.005651583,
-0.01652,-0.014207195,
-0.00888,-0.006845018,
-0.00642,-0.005987326,
-0.00565,-0.004687526,
-0.00926,-0.006752131,
-0.00447,0.002294812,
-0.00852,-0.004617693,
-0.00347,-0.002578141,
0.00154,0.002464458,
-0.00426,-0.00143127,
-0.00277,-0.00293003,
-0.00148,-0.002697633,
-0.0038,-0.003840542,
-0.00381,-0.001784843,
-0.00468,-0.001854696,
-0.00704,-0.007183473,
-0.01069,-0.009619258,
-0.01222,-0.012521537,
-0.01494,-0.010283104,
-0.00155,-0.005300221,
-0.00616,-0.004536403,
-0.00217,-0.000592012,
-0.0077,-0.007434419,
-0.00746,-0.007883618,
-0.00083,-0.001318187,
-0.00453,-0.004026797,
-0.00711,-0.005671825,
-0.0116,-0.011687174,
-0.00971,-0.007719072,
-0.01049,-0.010503271,
-0.0078,-0.005990972,
-0.00762,-0.008101551,
-0.00436,-0.006108911,
-0.0073,-0.007517658,
-0.0112,-0.010476932,
-0.00633,-0.003430736,
-0.01886,-0.016127847,
-0.00567,-0.007185214,
-0.0092,-0.007456867,
-0.01019,-0.009975759,
-0.00546,-0.004993464,
-0.00343,-0.005800849,
-0.0071,-0.005762552,
-0.00532,-0.007760343,
-0.00332,-0.006540435,
0.00658,0.003676844,
-0.0093,-0.009333066,
-0.00537,-0.004288218,
-0.00516,-0.000490506,
-0.00901,-0.003928617,
-0.00523,-0.003232289,
-0.01321,-0.012382079,
-0.00827,-0.007217033,
-0.00519,-0.005154485,
-0.00683,-0.004452853,
-0.00458,-0.004987997,
0.00133,0.00081872,
-0.00582,-0.001622649,
-0.01108,-0.003325075,
-0.00855,-0.005789238,
0.00068,-0.006589272,
-0.00343,-0.00239399,
-0.00308,-0.001027511,
-0.0016,-0.000292147,
0.00222,-0.001054944,
0.0021,0.001411892,
0.0022,0.00362448,
-0.00802,-0.008245911,
-0.00169,-0.001841082,
-0.0054,-0.007995082,
-0.00309,-0.000894985,
-0.00271,-0.004147359,
-0.00656,-0.008459724,
-0.00193,-0.00152815,
0.00324,0.001862497,
0.00559,0.002464125,
0.00086,-0.000518264,
0.00491,0.003087041,
0.00469,0.003305069,
0.00126,0.00021075,
0.00013,-0.001582843,
-0.0031,-0.001429502,
-0.00031,-0.000758288,
-0.00488,-0.000490506,
0.0022,0.006796408,
-0.00508,-0.000625156,
-0.00123,-0.002571048,
-0.00247,-0.000703474,
-0.00256,-0.006336886,
-0.00453,-0.004012093,
0.00023,0.001945421,
-0.00384,-0.001607161,
-0.00113,-0.000965444,
-0.00702,-0.007223008,
0.00148,0.000906653,
-0.01128,-0.009468848,
-0.01231,-0.010504998,
-0.00239,-0.002263907,
-0.00125,0.000276792,
0.00031,-0.001408049,
0.00086,0.002025218,
-0.00153,-0.002039115,
0.00268,0.007487921,
0.00528,0.001979001,
0.00727,-0.000934055,
0.00149,0.001637491,
-0.00787,-0.007795226,
-0.00722,-0.008024075,
-0.0026,-0.001318187,
-0.00147,-0.000428746,
0.00274,0.003389643,
-0.01088,-0.007673068,
0.00079,-0.0003917,
-0.00004,-0.001318187,
0.00036,0.001526661,
-0.00022,-0.002074733,
-0.01075,-0.009705029,
-0.00813,-0.009363465,
-0.0054,-0.007062069,
-0.00196,-0.001469216,
-0.00297,-0.00575534,
-0.00459,-0.003746513,
-0.00842,-0.005968883,
-0.00566,-0.002430494,
-0.00887,-0.006301009,
0.00117,0.002961232,
0.00161,0.000471401,
0.00626,0.00974497,
-0.00038,0.004017724,
0.00692,0.007794559,
-0.00258,-0.002086258,
0.00082,-0.00018258,
-0.00986,-0.011722518,
-0.00467,-0.004544072,
-0.00564,-0.002551432,
-0.00139,0.000843498,
-0.00081,0.002144848,
-0.00245,0.001216033,
0.00217,0.007174814,
0.00483,0.002121181,
-0.00042,0.000694245,
0.0101,0.018265687,
-0.01065,-0.009219327,
-0.01241,-0.004840803,
0.00502,0.001737749,
-0.00459,-0.0032917,
0.00745,0.002828335,
-0.01074,-0.00882178,
-0.00748,-0.008288385,
-0.00634,-0.000844871,
-0.00241,-0.002162843,
-0.00507,-0.006647543,
-0.00095,-0.003769657,
0.00682,-0.000747143,
0.01192,-0.000159266,
0.01183,0.009010304,
-0.00353,-0.001461928,
0.00253,0.006258599,
0.00233,0.004182529,
0.01091,0.007019931,
-0.00887,-0.004562799,
0.00063,0.002092686,
-0.00462,-0.004443268,
-0.00198,-0.001650131,
0.00218,0.008473477,
-0.00289,-0.004854497,
0.01361,0.007600064,
0.00659,0.009294808,
-0.00167,0.000747217,
0.00602,0.005298174,
0.00056,0.00090245,
0.00388,0.004363565,
-0.00652,-0.00270951,
-0.01402,-0.008186436,
-0.00244,-0.000934725,
0.00747,0.005323737,
0.00498,-0.006395483,
-0.00204,0.002295398,
-0.00209,-0.001910592,
-0.0011,0.00159744,
0.00573,0.003949951,
-0.00536,-0.000167101,
0.0011,-0.000461271,
0.01769,0.01307431,
0.0015,-0.001946993,
0.00104,0.002821459,
0.01154,0.009835439,
0.01032,0.015159178,
-0.00046,0.001952644,
-0.00498,-0.006240358,
-0.00913,-0.013305166,
-0.01391,-0.011219602,
0.01754,-0.010737956,
-0.01193,-0.011068603,
0.0002,-0.003642398,
0.00149,-0.001245924,
-0.00178,0.000697387,
-0.02054,-0.014169788,
0.0122,0.004466164,
-0.00643,0.002432002,
0.00889,0.008655448,
0.00288,-0.001598226,
0.00694,0.00743986,
0.0085,0.007379355,
0.00582,0.003343614,
0.00565,0.002172495,
-0.00188,-0.001282354,
0.0111,0.000989695,
0.00269,0.003458713,
0.01206,0.00830447,
0.00316,0.010617588,
0.00574,0.000832179,
0.00509,0.000728762,
0.0118,0.01066086,
0.00302,0.004011294,
0.00045,-0.006278916,
-0.00665,-0.001833999,
-0.00851,-0.003824907,
0.00344,-0.001032083,
