BJFS,BJYQ,BJSH,BJGB,TJBD,TJBH,TJWQ,HEYY,HELQ,HELY,HECC,HEZJ,HECD,HETS,SXLQ,XGB1
0.01502,-0.0146,-0.01518,-0.02107,-0.01494,-0.0567,-0.09392,-0.02463,-0.02155,-0.03086,-0.0162,-0.00602,-0.01941,-0.01301,-0.02615,-0.007801149
0.00656,-0.0183,-0.01504,-0.02191,-0.02039,-0.06065,-0.09613,-0.03097,-0.02718,-0.03442,-0.02593,-0.01652,-0.0271,-0.01721,-0.0298,-0.01364983
0.01247,-0.01197,-0.01129,-0.01348,-0.01345,-0.05397,-0.09328,-0.0219,-0.01968,-0.02785,-0.01644,-0.00888,-0.02035,-0.00989,-0.02188,-0.007033258
0.01429,-0.00682,-0.01008,-0.01132,-0.01077,-0.05162,-0.09118,-0.02017,-0.01842,-0.02431,-0.01313,-0.00642,-0.01778,-0.0083,-0.01914,-0.003823907
0.01597,-0.00698,-0.00759,-0.00943,-0.0098,-0.05181,-0.08622,-0.01949,-0.01651,-0.02336,-0.01223,-0.00565,-0.01818,-0.00585,-0.01741,-0.004662419
0.01191,-0.01112,-0.01073,-0.01318,-0.01327,-0.05409,-0.08788,-0.02339,-0.01959,-0.02695,-0.01607,-0.00926,-0.02023,-0.01102,-0.01951,-0.007033258
0.01957,-0.00785,-0.00232,-0.00626,-0.00732,-0.04935,-0.09176,-0.01548,-0.01293,-0.01973,-0.01118,-0.00447,-0.01508,-0.00504,-0.01426,0.001531055
0.01743,-0.00718,-0.00762,-0.00888,-0.011,-0.05496,-0.09091,-0.01763,-0.0152,-0.0238,-0.01174,-0.00852,-0.01462,-0.00896,-0.01722,-0.003114196
0.01665,-0.00533,-0.00668,-0.009,-0.00942,-0.05045,-0.08523,-0.01809,-0.01552,-0.02263,-0.00888,-0.00347,-0.01579,-0.00654,-0.0165,-0.003273147
0.02162,-0.00129,-0.00235,-0.0039,-0.0038,-0.0465,-0.08459,-0.01196,-0.01073,-0.01798,-0.00502,0.00154,-0.01181,-0.00252,-0.00793,0.002041023
0.015,-0.00452,-0.00771,-0.00975,-0.01,-0.05154,-0.09237,-0.01824,-0.01706,-0.02296,-0.00888,-0.00426,-0.01602,-0.00723,-0.01484,-0.002961613
0.01524,-0.00554,-0.00725,-0.00971,-0.01004,-0.05227,-0.08681,-0.0184,-0.01667,-0.0227,-0.0111,-0.00277,-0.01585,-0.00708,-0.01611,-0.00372783
0.01765,-0.00569,-0.00384,-0.00745,-0.0084,-0.04945,-0.0881,-0.01753,-0.01583,-0.02145,-0.01007,-0.00148,-0.01413,-0.007,-0.01586,-0.003307135
0.01496,-0.0081,-0.00784,-0.01172,-0.00997,-0.05134,-0.0958,-0.01762,-0.01847,-0.02216,-0.01065,-0.0038,-0.01526,-0.00577,-0.01635,-0.003749422
0.01716,-0.00634,-0.00606,-0.01023,-0.01081,-0.05223,-0.08637,-0.01915,-0.01914,-0.02311,-0.01303,-0.00381,-0.01329,-0.00755,-0.02295,-0.001904834
0.01419,-0.00668,-0.00821,-0.01239,-0.01166,-0.05262,-0.0905,-0.02103,-0.01947,-0.02394,-0.01118,-0.00468,-0.01399,-0.00827,-0.01896,-0.003705473
0.01187,-0.01114,-0.01033,-0.01417,-0.01232,-0.053,-0.05366,-0.02356,-0.02238,-0.02693,-0.01576,-0.00704,-0.0198,-0.00829,-0.02168,-0.007686826
0.00805,-0.01059,-0.01434,-0.01752,-0.01633,-0.05892,-0.09486,-0.02637,-0.02328,-0.02861,-0.01959,-0.01069,-0.02326,-0.01346,-0.02297,-0.011459939
0.00523,-0.01697,-0.01741,-0.02099,-0.01977,-0.06209,-0.0989,-0.02706,-0.02939,-0.03308,-0.02327,-0.01222,-0.02645,-0.01777,-0.02663,-0.01286445
0.0079,-0.01684,-0.01839,-0.02321,-0.009965,-0.06199,-0.10205,-0.02738,-0.03615,-0.03568,-0.02325,-0.01494,-0.03156,-0.01625,-0.0276,-0.014181538
0.01646,-0.00623,-0.00661,-0.00991,-0.0084,-0.05165,-0.09027,-0.01806,-0.02055,-0.02438,-0.01165,-0.00155,-0.01615,-0.00662,-0.01555,-0.004336908
0.01276,-0.00735,-0.01028,-0.01124,-0.00946,-0.05208,-0.09449,-0.02139,-0.02055,-0.02727,-0.01405,-0.00616,-0.01626,-0.00793,-0.02029,-0.003853784
0.01708,-0.00032,-0.00752,-0.01121,-0.01163,-0.05189,-0.09567,-0.01877,-0.01997,-0.02329,-0.01204,-0.00217,-0.01608,-0.0098,-0.01367,-0.001110219
0.00987,-0.01054,-0.01345,-0.01547,-0.01318,-0.05554,-0.10082,-0.02377,-0.0216,-0.02615,-0.01875,-0.0077,-0.02188,-0.01157,-0.01855,-0.007516069
0.0101,-0.00961,-0.0122,-0.01593,-0.01378,-0.05706,-0.09686,-0.02266,-0.02144,-0.02651,-0.01598,-0.00746,-0.01939,-0.01046,-0.02079,-0.007923117
0.01659,-0.00428,-0.00519,-0.00905,-0.009965,-0.05163,-0.09106,-0.01751,-0.0163,-0.02144,-0.00966,-0.00083,-0.01255,-0.00736,-0.01441,-0.002427455
0.0129,-0.00749,-0.01373,-0.01166,-0.01111,-0.05531,-0.09463,-0.02138,-0.02091,-0.02697,-0.01561,-0.00453,-0.01931,-0.0092,-0.01799,-0.003489141
0.01116,-0.00952,-0.01069,-0.01257,-0.0143,-0.05655,-0.09599,-0.02168,-0.01964,-0.02625,-0.01639,-0.00711,-0.01927,-0.01029,-0.01759,-0.007392757
0.00447,-0.01547,-0.01692,-0.02054,-0.01867,-0.06255,-0.09878,-0.02698,-0.02593,-0.03212,-0.02055,-0.0116,-0.02526,-0.01553,-0.02324,-0.012102827
0.00752,-0.01259,-0.01386,-0.01531,-0.01628,-0.06143,-0.09787,-0.02442,-0.02259,-0.02906,-0.01679,-0.00971,-0.02264,-0.01395,-0.01979,-0.009019412
0.00495,-0.01438,-0.01664,-0.01786,-0.01747,-0.06183,-0.09857,-0.02701,-0.02462,-0.03011,-0.01874,-0.01049,-0.02249,-0.01647,-0.02339,-0.010051167
0.01308,-0.00944,-0.01066,-0.01498,-0.0123,-0.05567,-0.09806,-0.02199,-0.01931,-0.02639,-0.01561,-0.0078,-0.01717,-0.00823,-0.01763,-0.005805736
0.01063,-0.01015,-0.01398,-0.01506,-0.01532,-0.05601,-0.09464,-0.02354,-0.02337,-0.03077,-0.01605,-0.00762,-0.01945,-0.01104,-0.02099,-0.006583038
0.00991,-0.01289,-0.0168,-0.01447,-0.028,-0.06162,-0.10117,-0.0243,-0.02424,-0.04305,-0.01643,-0.00436,-0.02038,-0.01407,-0.02376,-0.008115971
0.01231,-0.01004,-0.01156,-0.01462,-0.01271,-0.05654,-0.10116,-0.02242,-0.02222,-0.03081,-0.01441,-0.0073,-0.01879,-0.01207,-0.02177,-0.006043909
0.00891,-0.012,-0.01202,-0.01652,-0.01658,-0.06071,-0.1047,-0.02602,-0.02827,-0.02967,-0.01679,-0.0112,-0.02129,-0.01365,-0.02389,-0.00966724
0.00975,0.00467,-0.0071,-0.01361,-0.01455,-0.05515,-0.09578,-0.01861,-0.02096,-0.02738,-0.01657,-0.00633,-0.01691,-0.00922,-0.01889,-0.002996406
