,XGB1,HEZJ
0,0.009027387,0.01015
1,0.009133538,0.00853
2,0.013028395,0.01433
3,0.008181527,0.01048
4,0.009133538,0.00988
5,0.005533039,0.00699
6,0.009133538,0.00904
7,-0.002420886,0.00253
8,0.004118339,0.00674
9,0.005365199,0.00851
10,0.004118339,0.00747
11,-0.002631384,-0.00071
12,-0.00662034,-0.00404
13,-0.00533729,-0.00235
14,0.003899484,0.00947
15,0.001996994,-0.00113
16,0.002495368,0.00217
17,-0.002366351,0.00464
18,-0.001303476,0.00095
19,-0.000896712,0.00053
20,-0.003849038,-0.00237
21,0.004976417,0.00653
22,0.002517749,0.0032
23,-0.001386856,0.00001
24,-0.003002378,0.00089
25,-0.002338548,-0.00104
26,-0.004738157,-0.00379
27,-0.00596556,-0.00267
28,-0.002037085,0.00118
29,0.003027648,0.00247
30,-0.004981393,-0.00675
31,-0.005554938,-0.00311
32,-0.004115994,-0.00386
33,-0.006835206,-0.00537
34,-0.003695999,-0.0054
35,-0.006338462,-0.00572
36,-0.004315497,-0.00267
37,-0.006430875,-0.00525
38,-0.002106224,-0.00116
39,0.003176848,0.00094
40,-0.000500142,0.00073
41,0.002456156,0.00482
42,0.002794366,0.00289
43,0.002569142,0.0045
44,0.000894538,-0.00014
45,0.002598077,0.00465
46,0.004440984,0.00579
47,0.000520558,-0.00037
48,0.001581925,0.00065
49,1.86E-05,0.00179
50,-0.000921698,0.00109
51,-0.003206379,-0.00176
52,0.003560923,0.00547
53,0.003369438,0.00479
54,0.018019745,0.01277
55,-0.000303287,0.00093
56,0.002156384,0.00131
57,0.000245067,0.00227
58,-0.001219102,0.00207
59,0.003254344,0.00231
60,0.00615916,0.00936
61,0.003899484,0.00595
62,0.010850972,0.00884
63,0.007220825,0.0075
64,0.008992799,0.00808
65,0.007745937,0.00814
66,0.00037049,0.00412
67,-0.001720396,-0.00248
68,0.003214105,0.00304
69,0.001977078,0.00432
70,0.007220825,0.00504
71,0.002849445,0.003
72,0.012077414,0.01196
73,0.008797253,0.00769
74,0.0047558,0.00702
75,0.002396203,0.00339
76,0.010850972,0.00843
77,0.005209867,0.00699
78,0.002639108,0.00427
79,-0.000263032,-0.00176
80,-0.000473392,-0.00264
81,-0.001960372,-0.00142
82,-0.002019692,-0.00296
83,-0.00136696,-0.00403
84,0.001955504,0.00337
85,0.003369312,0.00224
86,-0.000423031,-0.00056
87,0.002613476,0.00452
88,0.004816777,0.00692
89,0.003504198,0.00535
90,0.007393666,0.00515
91,0.002200824,0.00572
92,0.008648532,0.00985
93,0.003617969,0.00523
94,0.002667876,0.00217
95,0.002033206,0.00234
96,0.003643839,0.00621
97,0.007829996,0.00777
98,0.003016432,0.00469
99,0.011654071,0.01442
100,2.28E-05,-0.00351
101,0.000653781,0.0008
102,0.012432033,0.01454
103,0.021627342,0.0196
104,0.019394193,0.01894
105,0.015914958,0.01495
106,0.021627342,0.01838
107,0.013681808,0.01143
108,0.014260316,0.01191
109,0.003711994,0.00858
110,0.002639108,0.00869
111,0.01657424,0.01333
112,0.008614867,0.01155
113,0.010041856,0.01061
114,0.014438258,0.0145
115,0.014878942,0.01635
116,0.01044838,0.01613
117,0.010621882,0.01406
118,0.014740809,0.01299
119,0.012597108,0.00849
120,0.009044742,0.00502
121,0.007224456,0.00238
122,0.007111825,0.00797
123,0.010676219,0.01072
124,0.007638665,0.01203
125,-0.002221652,0.00212
126,0.006697164,0.01072
127,0.003737506,0.00699
128,0.00572399,0.0121
129,0.008558072,-0.00118
130,0.010566963,0.01207
131,0.012282811,0.01254
132,0.006915175,0.01007
133,0.008390757,0.00748
134,0.005396804,0.00697
135,0.012307361,0.01349
136,0.010953787,0.01144
137,0.010940408,0.01046
138,0.002130645,0.00242
139,0.009079102,-0.00193
140,0.015595561,0.01124
141,0.018488811,0.01045
142,0.011826302,0.01076
143,0.014480274,0.01414
144,0.021537893,0.01851
145,0.018488811,0.01829
146,0.02061133,0.01473
147,0.022286624,0.02467
148,0.01254648,0.01045
149,0.022286624,0.01898
150,0.016318593,0.0159
151,0.011887198,0.01008
152,0.022286624,0.01365
153,0.022286624,0.01392
154,0.021817558,0.01718
155,0.013867477,0.00917
156,0.013451201,0.01246
157,0.003207101,-0.0015
158,0.008106202,0.0077
159,0.004816114,0.00343
160,0.007585634,0.01264
161,0.008480321,0.00933
162,0.010819039,0.01135
163,0.005130932,0.00154
164,0.002340352,0.00169
165,0.004850748,0.0032
166,0.006355325,-0.00124
167,0.000968502,0.00047
168,0.007541139,0.0083
169,0.00380023,0.00042
170,0.01040212,0.01298
171,0.003438998,0.00583
172,0.003334184,0.00334
173,0.009574983,0.00655
174,0.009754523,0.00792
175,0.011754523,0.01039
176,0.005815854,0.01369
177,0.019650407,0.01454
178,0.005786632,0.00387
179,0.006560804,0.00858
180,0.007602186,0.01434
181,0.021817558,0.02046
182,0.008788,0.00799
183,0.019237543,0.01367
184,0.013497435,0.0132
185,0.012715103,0.01026
186,0.014377764,0.01426
187,0.005904528,0.00124
188,0.006840614,0.0032
189,0.000552643,0.0031
190,-0.010774534,-0.01708
191,0.000617498,0.00619
192,-0.000742804,-0.00208
193,-0.010232124,-0.00771
194,-0.007958438,-0.01071
195,0.005560184,0.0067
196,0.010079345,0.00935
197,0.005896925,-0.00193
198,0.0058549,0.01072
199,0.007481601,0.00403
200,0.00259221,-0.00297
201,0.005438962,0.00512
202,-0.001107863,0.00868
203,0.011872898,0.00364
204,0.01091742,0.00107
205,-0.005197278,-0.0017
206,0.004356922,0.00183
207,0.000447491,-0.00264
208,0.000935575,-0.00381
209,-0.003795453,-0.00678
210,-0.01206733,-0.01582
211,-0.009304923,-0.00787
212,0.001984743,-0.00092
213,-0.014333077,-0.01184
214,-0.002619233,-0.01234
215,-0.000776974,-0.00562
216,0.000291476,-0.00278
217,0.000631358,-0.00418
218,-0.009010526,-0.00158
219,-0.013270976,-0.01136
220,-0.009177495,-0.0119
221,0.001845733,-0.00769
222,-0.009684034,-0.01852
223,-0.006329778,-0.00504
224,0.008876409,-0.0005
225,-0.005494589,-0.00984
226,-0.013082348,-0.01584
227,-0.001190973,-0.01384
228,0.003376465,0.00566
229,-0.010381365,-0.01058
230,-0.004558637,-0.00322
231,0.003710608,-0.00136
232,0.007452498,0.00243
233,-0.0054151,-0.00946
234,-0.013980701,-0.00778
235,0.001512976,0.00184
236,0.002928923,0.00389
237,-0.01460642,-0.01692
238,-0.014955177,-0.01901
239,0.002565545,0.00603
240,-0.003797697,-0.00889
241,-0.011737221,-0.01516
242,0.006918212,0.00729
243,-0.011623665,-0.01449
244,-0.001188335,-0.0064
245,0.000823204,-0.00762
246,0.002961753,0.00449
247,0.002139875,0.006
248,-0.004310132,-0.01153
249,-0.000331246,-0.00353
250,-0.001480793,-0.00055
251,-0.011327187,-0.01465
252,-0.012836021,-0.012
253,-0.011654273,-0.01531
254,-0.005025828,-0.00475
255,0.000363736,-0.00123
256,0.000751021,0.00086
257,-0.00137457,0.00044
258,-0.005257331,-0.0037
259,-0.009703091,-0.00978
260,-0.007999422,-0.00915
261,-0.000389103,-0.0029
262,-0.000843158,0.00179
263,0.003617702,0.00297
264,0.003109602,0.00195
265,-0.015880302,-0.02065
266,-0.000183664,-0.00259
267,-0.000277971,0.00058
268,0.005214986,0.00492
269,-0.000852525,-0.00243
270,-0.000170186,-0.00146
271,-0.001567336,0.00021
272,-0.000173896,0.00156
273,0.002654176,0.00447
274,-0.006431513,-0.00679
275,0.002846136,-0.00087
276,0.00148255,-0.0015
277,-0.004294673,-0.00591
278,0.000922594,0.00089
279,0.00983706,0.00576
280,-0.001603175,-0.0012
281,-0.003284351,-0.00235
282,-0.001390457,-0.00251
283,-0.000401085,-0.00331
284,-0.0013276,0.00148
285,-0.001561337,-0.00504
286,0.001237517,0.00046
287,0.004859733,0.00151
288,0.003307497,0.00564
289,0.005444263,0.00676
290,-0.000193171,-0.00236
291,0.01090164,0.0094
292,0.004087775,0.00429
293,0.003236244,0.00214
294,-7.26E-05,-0.00174
295,0.000390845,-0.0038
296,2.05E-05,-0.00199
297,0.000168804,-0.00405
298,0.010152265,0.00795
299,0.010516653,0.0078
300,0.003161765,-0.00122
301,-0.003744212,-0.00046
302,0.001486422,-0.00141
303,-0.000539681,-0.00205
304,-0.000909933,-0.00029
305,0.004528691,0.00136
306,0.002368754,0.00565
307,-0.000402095,0.00039
308,-0.005571623,-0.00643
309,-0.003959625,-0.00551
310,-0.004371424,-0.00029
311,-0.002530547,-0.00564
312,0.003224432,-0.00045
313,-0.001243784,0.00046
314,-0.00431741,-0.00053
315,-0.003944855,-0.00465
316,0.002722757,0.00174
317,0.002090558,-0.00165
318,-0.000789234,-0.00156
319,-0.004124273,-0.00267
320,0.003374543,-0.00053
321,0.008342445,0.00556
322,-0.0061119,-0.00592
323,-0.005368917,-0.00478
324,-0.008648747,-0.00414
325,-0.010694729,-0.0106
326,-0.011504763,-0.00975
327,-0.007227463,-0.00859
328,-0.002579668,-0.00639
329,0.0036161,0.00207
330,-0.003591253,-0.00153
331,-0.00482794,-0.00279
332,-0.0037848,-0.00098
333,-0.000289107,-0.00017
334,-0.004201903,-0.00218
335,-0.003502201,-0.00161
336,0.000657064,0.00232
337,0.005247456,0.00357
338,-0.004106059,-0.00229
339,-0.004233229,-0.00272
340,-0.004892697,-0.00245
341,-0.004106059,-0.00432
342,-0.006065882,-0.00655
343,-0.004892697,-0.00542
344,-0.003158133,-0.00243
345,-0.003672939,-0.00393
346,-0.001314818,0.00216
347,-0.004248806,-0.00264
348,-0.00047391,-0.00157
349,-0.004453146,-0.00496
350,-0.003814268,-0.00072
351,-0.00686666,-0.00809
352,0.003424035,0.00543
353,-0.004453146,-0.00446
354,-0.001637176,-0.00169
355,-0.003444081,-0.00326
356,0.000495141,-0.00011
357,0.000493466,-0.00068
358,0.00411994,0.00239
359,-0.003585414,-0.00443
360,0.000393476,-0.00006
361,-0.0001805,0.00064
362,-0.001526352,0.0012
363,-0.002146606,-0.00295
364,-0.002466713,-0.00218
