TRUE,fit,prediction
-0.00602,-0.007801149,
-0.01652,-0.01364983,
-0.00888,-0.007033258,
-0.00642,-0.003823907,
-0.00565,-0.004662419,
-0.00926,-0.007033258,
-0.00447,0.001531055,
-0.00852,-0.003114196,
-0.00347,-0.003273147,
0.00154,0.002041023,
-0.00426,-0.002961613,
-0.00277,-0.00372783,
-0.00148,-0.003307135,
-0.0038,-0.003749422,
-0.00381,-0.001904834,
-0.00468,-0.003705473,
-0.00704,-0.007686826,
-0.01069,-0.011459939,
-0.01222,-0.01286445,
-0.01494,-0.014181538,
-0.00155,-0.004336908,
-0.00616,-0.003853784,
-0.00217,-0.001110219,
-0.0077,-0.007516069,
-0.00746,-0.007923117,
-0.00083,-0.002427455,
-0.00453,-0.003489141,
-0.00711,-0.007392757,
-0.0116,-0.012102827,
-0.00971,-0.009019412,
-0.01049,-0.010051167,
-0.0078,-0.005805736,
-0.00762,-0.006583038,
-0.00436,-0.008115971,
-0.0073,-0.006043909,
-0.0112,-0.00966724,
-0.00633,-0.002996406,
-0.01886,-0.016426757,
-0.00567,-0.006739033,
-0.0092,-0.009663487,
-0.01019,-0.00839979,
-0.00546,-0.004963478,
-0.00343,-0.006531124,
-0.0071,-0.006236543,
-0.00532,-0.008701948,
-0.00332,-0.003796687,
0.00658,0.003456655,
-0.0093,-0.009070494,
-0.00537,-0.003198328,
-0.00516,0.001076174,
-0.00901,-0.005501167,
-0.00523,-0.00407708,
-0.01321,-0.01250814,
-0.00827,-0.008076099,
-0.00519,-0.004889456,
-0.00683,-0.004983685,
-0.00458,-0.004650563,
0.00133,-0.000834321,
-0.00582,-0.003189251,
-0.01108,-0.009291083,
-0.00855,-0.004603209,
0.00068,-0.004942119,
-0.00343,-0.003306775,
-0.00308,-0.002915793,
-0.0016,-0.001690106,
0.00222,-0.001767884,
0.0021,0.001569939,
0.0022,0.002858477,
-0.00802,-0.007493447,
-0.00169,-0.002557768,
-0.0054,-0.006817048,
-0.00309,-0.002313808,
-0.00271,-0.005380774,
-0.00656,-0.008558675,
-0.00193,-0.00123471,
0.00324,0.000790509,
0.00559,0.00335408,
0.00086,-0.001437684,
0.00491,0.002182913,
0.00469,0.003806134,
0.00126,0.001606171,
0.00013,-0.000752135,
-0.0031,-0.002652698,
-0.00031,0.001545886,
-0.00488,5.68E-06,
0.0022,0.005710117,
-0.00508,-0.002029759,
-0.00123,-0.002751217,
-0.00247,-0.002493956,
-0.00256,-0.007098801,
-0.00453,-0.004228304,
0.00023,0.002173641,
-0.00384,-0.00272817,
-0.00113,-0.002397993,
-0.00702,-0.005805623,
0.00148,0.000957832,
-0.01128,-0.006822024,
-0.01231,-0.011841453,
-0.00239,-0.002885083,
-0.00125,0.000667187,
0.00031,-0.00168612,
0.00086,0.001731109,
-0.00153,-0.00178767,
0.00268,0.007060157,
0.00528,0.005993414,
0.00727,0.000266611,
0.00149,0.002989487,
-0.00787,-0.007772002,
-0.00722,-0.007721994,
-0.0026,-0.00207338,
-0.00147,-0.000896648,
0.00274,0.002469885,
-0.01088,-0.006646399,
0.00079,0.001643383,
-0.00004,-0.002309396,
0.00036,-0.001568268,
-0.00022,-0.002306806,
-0.01075,-0.009208784,
-0.00813,-0.009112972,
-0.0054,-0.007119292,
-0.00196,0.000139035,
-0.00297,-0.007984029,
-0.00459,-0.008123522,
-0.00842,-0.008411205,
-0.00566,-0.002718595,
-0.00887,-0.006746675,
0.00117,0.001075671,
0.00161,8.34E-05,
0.00626,0.006396838,
-0.00038,0.00220354,
0.00692,0.006114729,
-0.00258,-0.005038681,
0.00082,9.63E-05,
-0.00986,-0.013319789,
-0.00467,-0.004402164,
-0.00564,-0.001693944,
-0.00139,0.003961376,
-0.00081,0.002362768,
-0.00245,0.000900209,
0.00217,0.005430671,
0.00483,0.002804441,
-0.00042,0.00095822,
0.0101,0.013574855,
-0.01065,-0.007536319,
-0.01241,-0.009313696,
0.00502,0.002240437,
-0.00459,-0.003505639,
0.00745,0.001926594,
-0.01074,-0.007968539,
-0.00748,-0.006301502,
-0.00634,-0.001020801,
-0.00241,-0.003489519,
-0.00507,-0.005988402,
-0.00095,-0.004517648,
0.00682,-0.001523438,
0.01192,0.002647607,
0.01183,0.011590682,
-0.00353,-0.001845848,
0.00253,0.006819548,
0.00233,0.00325045,
0.01091,0.006897966,
-0.00887,-0.006737282,
0.00063,0.000409715,
-0.00462,-0.00771602,
-0.00198,-0.002237285,
0.00218,0.007419701,
-0.00289,-0.003262945,
0.01361,0.009189405,
0.00659,0.010478042,
-0.00167,-0.001760289,
0.00602,0.005223214,
0.00056,0.000153503,
0.00388,0.002535302,
-0.00652,-0.004756392,
-0.01402,-0.005459016,
-0.00244,0.000285743,
0.00747,0.005173696,
0.00498,-0.005823614,
-0.00204,-0.000893462,
-0.00209,-0.003148914,
-0.0011,0.001002751,
0.00573,-0.002442644,
-0.00536,-5.91E-05,
0.0011,0.001667453,
0.01769,0.01361195,
0.0015,0.000436293,
0.00104,-0.001366638,
0.01154,0.010700814,
0.01032,0.011269113,
-0.00046,0.00386712,
-0.00498,-0.00604213,
-0.00913,-0.013435902,
-0.01391,-0.010953205,
0.01754,-0.010146776,
-0.01193,-0.01073442,
0.0002,-0.00389531,
0.00149,-0.001573403,
-0.00178,0.000357562,
-0.02054,-0.011510195,
0.0122,0.006643156,
-0.00643,0.001628016,
0.00889,0.008334763,
0.00288,0.001588717,
0.00694,0.010173431,
0.0085,0.006939695,
0.00582,0.003560841,
0.00565,0.001924844,
-0.00188,0.003950794,
0.0111,0.003392896,
0.00269,0.005581782,
0.01206,0.008988291,
0.00316,0.008459167,
0.00574,0.002067564,
0.00509,0.0023665,
0.0118,0.010193268,
0.00302,0.004050681,
0.00045,-0.000291843,
-0.00665,-0.004032134,
-0.00851,-0.005549865,
0.00344,-0.002266741,
-0.0018,-0.006067135,
-0.0029,-0.00313338,
-0.01157,0.002592718,
0.00797,0.003305195,
0.00498,0.001697204,
0.00426,0.001933337,
0.0039,0.003784447,
0.0119,0.003302982,
0.00217,0.002150303,
-0.00395,0.000781329,
0.00412,0.003286776,
-0.00074,-0.004903745,
0.00085,-0.000280751,
-0.00611,0.001751329,
0.00036,0.000364175,
0.00141,3.05E-05,
0.00494,0.00626966,
0.00684,0.006335292,
0.0097,0.00311391,
0.00097,0.001349263,
0.00609,0.001452162,
-0.00797,-0.006354617,
-0.00353,-0.003656703,
-0.00404,-0.004400289,
-0.00036,-0.003466051,
-0.00175,-0.001141479,
-0.00378,-0.00044711,
-0.00124,-0.003492555,
-0.0016,-0.003566981,
0.00171,0.000451986,
-0.00097,-0.006526452,
0.0033,-0.004868774,
-0.00305,-0.007501711,
-0.00019,-0.000226604,
-0.00789,-0.004199124,
0.00065,0.000128641,
-0.00102,-0.002949897,
-0.00375,-0.003714513,
-0.00654,-0.003054375,
-0.00661,-0.013000401,
-0.00413,-0.009710345,
0.00287,-0.006554748,
-0.00922,-0.014103008,
-0.01594,-0.014521054,
-0.00645,-0.005856671,
-0.01461,-0.004364171,
-0.01195,-0.012143216,
-0.01464,-0.013148585,
-0.00508,-0.005366732,
-0.00429,-0.004210909,
-0.01112,-0.010278284,
-0.01489,-0.015984111,
-0.00934,-0.010275317,
-0.01136,-0.015370313,
-0.01173,-0.013623198,
-0.00499,-0.006356706,
-0.00856,-0.00936144,
-0.01406,-0.012706881,
-0.01072,-0.013098018,
-0.01616,-0.013703986,
-0.00562,-0.003084273,
-0.00929,-0.007982413,
-0.01127,-0.011909897,
-0.01136,-0.00932462,
-0.01492,-0.013627165,
-0.01498,-0.011767619,
-0.01574,-0.01617863,
-0.01985,-0.015172665,
-0.01578,-0.012576592,
-0.01335,-0.01239994,
-0.01202,-0.012551788,
-0.0138,-0.014296401,
-0.01438,-0.014739132,
-0.01365,-0.011675469,
-0.01067,-0.01234267,
-0.01386,-0.013712357,
-0.00754,-0.011087568,
-0.00515,-0.009511127,
-0.00513,-0.008639636,
-0.00761,-0.006034758,
-0.00932,-0.013766927,
-0.00846,-0.007315248,
-0.0096,-0.011998874,
-0.00795,-0.009702747,
-0.00676,-0.007562895,
-0.01008,-0.009965987,
-0.01064,-0.010859267,
-0.01441,-0.012305165,
-0.01355,-0.012698432,
-0.00822,-0.011601771,
-0.01493,-0.016082853,
-0.00657,-0.007757726,
-0.00863,-0.006715292,
