,fit,HEZJ
0,-0.007801149,-0.00602
1,-0.01364983,-0.01652
2,-0.007033258,-0.00888
3,-0.003823907,-0.00642
4,-0.004662419,-0.00565
5,-0.007033258,-0.00926
6,0.001531055,-0.00447
7,-0.003114196,-0.00852
8,-0.003273147,-0.00347
9,0.002041023,0.00154
10,-0.002961613,-0.00426
11,-0.00372783,-0.00277
12,-0.003307135,-0.00148
13,-0.003749422,-0.0038
14,-0.001904834,-0.00381
15,-0.003705473,-0.00468
16,-0.007686826,-0.00704
17,-0.011459939,-0.01069
18,-0.01286445,-0.01222
19,-0.014181538,-0.01494
20,-0.004336908,-0.00155
21,-0.003853784,-0.00616
22,-0.001110219,-0.00217
23,-0.007516069,-0.0077
24,-0.007923117,-0.00746
25,-0.002427455,-0.00083
26,-0.003489141,-0.00453
27,-0.007392757,-0.00711
28,-0.012102827,-0.0116
29,-0.009019412,-0.00971
30,-0.010051167,-0.01049
31,-0.005805736,-0.0078
32,-0.006583038,-0.00762
33,-0.008115971,-0.00436
34,-0.006043909,-0.0073
35,-0.00966724,-0.0112
36,-0.002996406,-0.00633
37,-0.016426757,-0.01886
38,-0.006739033,-0.00567
39,-0.009663487,-0.0092
40,-0.00839979,-0.01019
41,-0.004963478,-0.00546
42,-0.006531124,-0.00343
43,-0.006236543,-0.0071
44,-0.008701948,-0.00532
45,-0.003796687,-0.00332
46,0.003456655,0.00658
47,-0.009070494,-0.0093
48,-0.003198328,-0.00537
49,0.001076174,-0.00516
50,-0.005501167,-0.00901
51,-0.00407708,-0.00523
52,-0.01250814,-0.01321
53,-0.008076099,-0.00827
54,-0.004889456,-0.00519
55,-0.004983685,-0.00683
56,-0.004650563,-0.00458
57,-0.000834321,0.00133
58,-0.003189251,-0.00582
59,-0.009291083,-0.01108
60,-0.004603209,-0.00855
61,-0.004942119,0.00068
62,-0.003306775,-0.00343
63,-0.002915793,-0.00308
64,-0.001690106,-0.0016
65,-0.001767884,0.00222
66,0.001569939,0.0021
67,0.002858477,0.0022
68,-0.007493447,-0.00802
69,-0.002557768,-0.00169
70,-0.006817048,-0.0054
71,-0.002313808,-0.00309
72,-0.005380774,-0.00271
73,-0.008558675,-0.00656
74,-0.00123471,-0.00193
75,0.000790509,0.00324
76,0.00335408,0.00559
77,-0.001437684,0.00086
78,0.002182913,0.00491
79,0.003806134,0.00469
80,0.001606171,0.00126
81,-0.000752135,0.00013
82,-0.002652698,-0.0031
83,0.001545886,-0.00031
84,5.68E-06,-0.00488
85,0.005710117,0.0022
86,-0.002029759,-0.00508
87,-0.002751217,-0.00123
88,-0.002493956,-0.00247
89,-0.007098801,-0.00256
90,-0.004228304,-0.00453
91,0.002173641,0.00023
92,-0.00272817,-0.00384
93,-0.002397993,-0.00113
94,-0.005805623,-0.00702
95,0.000957832,0.00148
96,-0.006822024,-0.01128
97,-0.011841453,-0.01231
98,-0.002885083,-0.00239
99,0.000667187,-0.00125
100,-0.00168612,0.00031
101,0.001731109,0.00086
102,-0.00178767,-0.00153
103,0.007060157,0.00268
104,0.005993414,0.00528
105,0.000266611,0.00727
106,0.002989487,0.00149
107,-0.007772002,-0.00787
108,-0.007721994,-0.00722
109,-0.00207338,-0.0026
110,-0.000896648,-0.00147
111,0.002469885,0.00274
112,-0.006646399,-0.01088
113,0.001643383,0.00079
114,-0.002309396,-0.00004
115,-0.001568268,0.00036
116,-0.002306806,-0.00022
117,-0.009208784,-0.01075
118,-0.009112972,-0.00813
119,-0.007119292,-0.0054
120,0.000139035,-0.00196
121,-0.007984029,-0.00297
122,-0.008123522,-0.00459
123,-0.008411205,-0.00842
124,-0.002718595,-0.00566
125,-0.006746675,-0.00887
126,0.001075671,0.00117
127,8.34E-05,0.00161
128,0.006396838,0.00626
129,0.00220354,-0.00038
130,0.006114729,0.00692
131,-0.005038681,-0.00258
132,9.63E-05,0.00082
133,-0.013319789,-0.00986
134,-0.004402164,-0.00467
135,-0.001693944,-0.00564
136,0.003961376,-0.00139
137,0.002362768,-0.00081
138,0.000900209,-0.00245
139,0.005430671,0.00217
140,0.002804441,0.00483
141,0.00095822,-0.00042
142,0.013574855,0.0101
143,-0.007536319,-0.01065
144,-0.009313696,-0.01241
145,0.002240437,0.00502
146,-0.003505639,-0.00459
147,0.001926594,0.00745
148,-0.007968539,-0.01074
149,-0.006301502,-0.00748
150,-0.001020801,-0.00634
151,-0.003489519,-0.00241
152,-0.005988402,-0.00507
153,-0.004517648,-0.00095
154,-0.001523438,0.00682
155,0.002647607,0.01192
156,0.011590682,0.01183
157,-0.001845848,-0.00353
158,0.006819548,0.00253
159,0.00325045,0.00233
160,0.006897966,0.01091
161,-0.006737282,-0.00887
162,0.000409715,0.00063
163,-0.00771602,-0.00462
164,-0.002237285,-0.00198
165,0.007419701,0.00218
166,-0.003262945,-0.00289
167,0.009189405,0.01361
168,0.010478042,0.00659
169,-0.001760289,-0.00167
170,0.005223214,0.00602
171,0.000153503,0.00056
172,0.002535302,0.00388
173,-0.004756392,-0.00652
174,-0.005459016,-0.01402
175,0.000285743,-0.00244
176,0.005173696,0.00747
177,-0.005823614,0.00498
178,-0.000893462,-0.00204
179,-0.003148914,-0.00209
180,0.001002751,-0.0011
181,-0.002442644,0.00573
182,-5.91E-05,-0.00536
183,0.001667453,0.0011
184,0.01361195,0.01769
185,0.000436293,0.0015
186,-0.001366638,0.00104
187,0.010700814,0.01154
188,0.011269113,0.01032
189,0.00386712,-0.00046
190,-0.00604213,-0.00498
191,-0.013435902,-0.00913
192,-0.010953205,-0.01391
193,-0.010146776,0.01754
194,-0.01073442,-0.01193
195,-0.00389531,0.0002
196,-0.001573403,0.00149
197,0.000357562,-0.00178
198,-0.011510195,-0.02054
199,0.006643156,0.0122
200,0.001628016,-0.00643
201,0.008334763,0.00889
202,0.001588717,0.00288
203,0.010173431,0.00694
204,0.006939695,0.0085
205,0.003560841,0.00582
206,0.001924844,0.00565
207,0.003950794,-0.00188
208,0.003392896,0.0111
209,0.005581782,0.00269
210,0.008988291,0.01206
211,0.008459167,0.00316
212,0.002067564,0.00574
213,0.0023665,0.00509
214,0.010193268,0.0118
215,0.004050681,0.00302
216,-0.000291843,0.00045
217,-0.004032134,-0.00665
218,-0.005549865,-0.00851
219,-0.002266741,0.00344
220,-0.006067135,-0.0018
221,-0.00313338,-0.0029
222,0.002592718,-0.01157
223,0.003305195,0.00797
224,0.001697204,0.00498
225,0.001933337,0.00426
226,0.003784447,0.0039
227,0.003302982,0.0119
228,0.002150303,0.00217
229,0.000781329,-0.00395
230,0.003286776,0.00412
231,-0.004903745,-0.00074
232,-0.000280751,0.00085
233,0.001751329,-0.00611
234,0.000364175,0.00036
235,3.05E-05,0.00141
236,0.00626966,0.00494
237,0.006335292,0.00684
238,0.00311391,0.0097
239,0.001349263,0.00097
240,0.001452162,0.00609
241,-0.006354617,-0.00797
242,-0.003656703,-0.00353
243,-0.004400289,-0.00404
244,-0.003466051,-0.00036
245,-0.001141479,-0.00175
246,-0.00044711,-0.00378
247,-0.003492555,-0.00124
248,-0.003566981,-0.0016
249,0.000451986,0.00171
250,-0.006526452,-0.00097
251,-0.004868774,0.0033
252,-0.007501711,-0.00305
253,-0.000226604,-0.00019
254,-0.004199124,-0.00789
255,0.000128641,0.00065
256,-0.002949897,-0.00102
257,-0.003714513,-0.00375
258,-0.003054375,-0.00654
259,-0.013000401,-0.00661
260,-0.009710345,-0.00413
261,-0.006554748,0.00287
262,-0.014103008,-0.00922
263,-0.014521054,-0.01594
264,-0.005856671,-0.00645
265,-0.004364171,-0.01461
266,-0.012143216,-0.01195
267,-0.013148585,-0.01464
268,-0.005366732,-0.00508
269,-0.004210909,-0.00429
270,-0.010278284,-0.01112
271,-0.015984111,-0.01489
272,-0.010275317,-0.00934
273,-0.015370313,-0.01136
274,-0.013623198,-0.01173
275,-0.006356706,-0.00499
276,-0.00936144,-0.00856
277,-0.012706881,-0.01406
278,-0.013098018,-0.01072
279,-0.013703986,-0.01616
280,-0.003084273,-0.00562
281,-0.007982413,-0.00929
282,-0.011909897,-0.01127
283,-0.00932462,-0.01136
284,-0.013627165,-0.01492
285,-0.011767619,-0.01498
286,-0.01617863,-0.01574
287,-0.015172665,-0.01985
288,-0.012576592,-0.01578
289,-0.01239994,-0.01335
290,-0.012551788,-0.01202
291,-0.014296401,-0.0138
292,-0.014739132,-0.01438
293,-0.011675469,-0.01365
294,-0.01234267,-0.01067
295,-0.013712357,-0.01386
296,-0.011087568,-0.00754
297,-0.009511127,-0.00515
298,-0.008639636,-0.00513
299,-0.006034758,-0.00761
300,-0.013766927,-0.00932
301,-0.007315248,-0.00846
302,-0.011998874,-0.0096
303,-0.009702747,-0.00795
304,-0.007562895,-0.00676
305,-0.009965987,-0.01008
306,-0.010859267,-0.01064
307,-0.012305165,-0.01441
308,-0.012698432,-0.01355
309,-0.011601771,-0.00822
310,-0.016082853,-0.01493
311,-0.007757726,-0.00657
312,-0.006715292,-0.00863
313,-0.005428946,-0.00725
314,-0.006038537,-0.0078
315,-0.003074821,-0.0038
316,-0.004620418,-0.00483
317,-0.002356607,-0.00202
318,-0.004841594,-0.00305
319,-0.008207303,-0.00193
320,-0.00535241,-0.00482
321,-0.001670316,-0.00419
322,-0.005333903,-0.00787
323,-0.014711602,-0.01492
324,-0.010808933,-0.01153
325,0.001106789,-0.0034
326,-0.003164858,-0.00313
327,-0.005265096,-0.00312
328,0.002236086,0.00253
329,0.003951759,-0.00179
330,-0.012226408,-0.01401
331,-0.005236126,-0.00871
332,0.000254593,-0.00311
333,-0.012811031,-0.01277
334,-0.00713264,-0.00781
335,-0.00738614,-0.00772
336,-0.003284263,-0.00283
337,-0.00211416,0.00046
338,-0.004104241,-0.00202
339,-0.002986841,-0.00376
340,-0.009397956,-0.00686
341,-0.009565559,-0.01124
342,-0.005777343,-0.00769
343,-0.002940509,-0.00231
344,0.0012284,-0.00162
345,-0.007185933,-0.00606
346,-0.007341551,-0.00863
347,-0.012304344,-0.01355
348,-0.013975821,-0.01376
349,-0.012875021,-0.01178
350,-0.01222635,-0.01239
351,-0.010243594,-0.01318
352,-0.011970492,-0.01374
353,-0.008653999,-0.01034
354,-0.011743206,-0.01162
355,-0.007705791,-0.00929
356,-0.008372648,-0.0093
357,-0.00292794,-0.00122
