,XGB1,HEZJ
0,0.006375199,0.01015
1,0.007071983,0.00853
2,0.017564908,0.01433
3,0.008000688,0.01048
4,0.006519939,0.00988
5,0.005151407,0.00699
6,0.006519939,0.00904
7,-0.002555444,0.00253
8,0.003134483,0.00674
9,0.002972513,0.00851
10,0.003393194,0.00747
11,-0.002064846,-0.00071
12,-0.006464676,-0.00404
13,-0.00344531,-0.00235
14,0.004695225,0.00947
15,0.002101248,-0.00113
16,0.002021325,0.00217
17,-0.002338754,0.00464
18,-0.001908957,0.00095
19,-0.001496333,0.00053
20,-0.002718515,-0.00237
21,0.004150292,0.00653
22,0.003339648,0.0032
23,-0.002087649,0.00001
24,-0.002837271,0.00089
25,-0.000852643,-0.00104
26,-0.002500061,-0.00379
27,-0.005544656,-0.00267
28,-0.000426117,0.00118
29,0.002444315,0.00247
30,-0.006127725,-0.00675
31,-0.004301797,-0.00311
32,-0.006307788,-0.00386
33,-0.006559472,-0.00537
34,-0.005259529,-0.0054
35,-0.006928579,-0.00572
36,-0.003393333,-0.00267
37,-0.006298887,-0.00525
38,-0.002493439,-0.00116
39,0.002829169,0.00094
40,0.000199478,0.00073
41,0.003454332,0.00482
42,0.003303677,0.00289
43,0.003239067,0.0045
44,-0.00038554,-0.00014
45,0.003094238,0.00465
46,0.003303677,0.00579
47,0.001758751,-0.00037
48,0.002105081,0.00065
49,0.001569054,0.00179
50,-0.000510837,0.00109
51,-0.004123929,-0.00176
52,0.003393194,0.00547
53,0.00491514,0.00479
54,0.014881061,0.01277
55,0.001376119,0.00093
56,0.003180814,0.00131
57,0.000735506,0.00227
58,0.00080433,0.00207
59,0.003265628,0.00231
60,0.00792187,0.00936
61,0.004702103,0.00595
62,0.010631412,0.00884
63,0.008138211,0.0075
64,0.010691954,0.00808
65,0.00856672,0.00814
66,0.001376119,0.00412
67,-0.001499138,-0.00248
68,0.003218978,0.00304
69,0.003218239,0.00432
70,0.007683355,0.00504
71,0.002844947,0.003
72,0.014069121,0.01196
73,0.007711531,0.00769
74,0.005209753,0.00702
75,0.003303677,0.00339
76,0.010732627,0.00843
77,0.004112445,0.00699
78,0.00347695,0.00427
79,-0.001325135,-0.00176
80,-0.001790302,-0.00264
81,-0.001549679,-0.00142
82,-0.002064846,-0.00296
83,-0.001332028,-0.00403
84,0.00347695,0.00337
85,0.004159168,0.00224
86,0.001044783,-0.00056
87,0.002620251,0.00452
88,0.004120161,0.00692
89,0.003096974,0.00535
90,0.007105849,0.00515
91,0.002666637,0.00572
92,0.006329525,0.00985
93,0.004536425,0.00523
94,0.003497375,0.00217
95,0.00246018,0.00234
96,0.003056269,0.00621
97,0.006800704,0.00777
98,0.003971546,0.00469
99,0.020034581,0.01442
100,-0.000578462,-0.00351
101,0.00112863,0.0008
102,0.014489614,0.01454
103,0.020598808,0.0196
104,0.02021872,0.01894
105,0.020598808,0.01495
106,0.021313282,0.01838
107,0.019923305,0.01143
108,0.01659752,0.01191
109,0.003839835,0.00858
110,0.004825827,0.00869
111,0.021170815,0.01333
112,0.008386944,0.01155
113,0.011112807,0.01061
114,0.0191829,0.0145
115,0.01558869,0.01635
116,0.00904566,0.01613
117,0.011024694,0.01406
118,0.016127413,0.01299
119,0.009909124,0.00849
120,0.00812431,0.00502
121,0.007070411,0.00238
122,0.00649971,0.00797
123,0.006522286,0.01072
124,0.0086881,0.01203
125,-0.000289463,0.00212
126,0.004503288,0.01072
127,0.002510163,0.00699
128,0.008652215,0.0121
129,0.012502382,-0.00118
130,0.01432178,0.01207
131,0.014516578,0.01254
132,0.006009637,0.01007
133,0.008237838,0.00748
134,0.004827499,0.00697
135,0.014640335,0.01349
136,0.011271396,0.01144
137,0.014080917,0.01046
138,0.002888956,0.00242
139,0.010924581,-0.00193
140,0.02074953,0.01124
141,0.01429088,0.01045
142,0.018680463,0.01076
143,0.017648188,0.01414
144,0.02002443,0.01851
145,0.010276526,0.01829
146,0.02002443,0.01473
147,0.020598808,0.02467
